,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
34,34,2024-01-05,,UTA,W,126,97,,115.7,89.0,108.9,.400,.544,.595,49.6,61.5,8.3,13.3,.528,11.7,18.0,.344,.394,14.2,25.4,.245
35,35,2024-01-06,@,IND,W,118,101,,118.3,101.2,99.8,.211,.456,.600,59.6,56.5,6.0,12.0,.600,15.5,31.7,.111,.457,8.1,18.9,.185
36,36,2024-01-08,@,IND,L,131,133,,128.1,130.0,102.3,.322,.389,.637,51.9,55.3,2.9,15.7,.617,12.7,30.2,.222,.632,11.4,23.7,.198
37,37,2024-01-10,,MIN,W,127,120,OT,124.0,117.2,92.7,.344,.522,.613,49.5,53.8,4.9,6.6,.539,7.2,15.2,.333,.537,8.0,17.0,.189
38,38,2024-01-11,@,MIL,L,102,135,,103.6,137.1,98.4,.330,.385,.489,36.5,64.7,5.1,10.0,.423,5.4,12.5,.275,.663,10.0,32.4,.141
39,39,2024-01-13,,HOU,W,145,113,,135.9,105.9,106.7,.263,.495,.684,50.0,51.0,6.6,11.6,.663,10.2,22.2,.200,.439,10.4,27.3,.263
40,40,2024-01-15,@,TOR,W,105,96,,104.8,95.9,100.2,.305,.476,.565,50.5,60.6,3.0,11.1,.500,12.3,10.4,.280,.421,6.3,15.8,.168
41,41,2024-01-17,,SAS,W,117,98,,120.4,100.9,97.2,.211,.422,.595,56.8,52.4,5.1,10.2,.567,12.5,28.6,.167,.457,9.1,20.8,.140
42,42,2024-01-19,,DEN,L,100,102,,117.8,120.1,84.9,.157,.494,.525,44.7,55.3,5.9,4.0,.506,3.1,24.5,.112,.568,11.3,27.8,.123
43,43,2024-01-21,@,HOU,W,116,107,,111.0,102.3,104.5,.184,.480,.548,52.9,72.1,9.6,20.3,.526,13.1,29.6,.133,.489,12.6,22.0,.160
44,44,2024-01-22,@,DAL,W,119,110,,118.4,109.5,100.5,.341,.523,.588,47.8,63.4,7.0,14.0,.551,5.6,11.6,.250,.515,8.8,20.4,.103
45,45,2024-01-25,@,MIA,W,143,110,,155.2,119.4,92.1,.250,.500,.805,60.3,70.6,4.3,9.6,.775,11.0,23.1,.238,.532,4.8,21.2,.106
46,46,2024-01-27,,LAC,L,96,115,,98.1,117.5,97.9,.160,.400,.448,47.3,58.3,2.0,14.5,.410,9.3,29.5,.140,.490,6.8,30.6,.147
47,47,2024-01-29,,NOP,W,118,112,,121.1,115.0,97.4,.235,.541,.629,50.0,62.8,7.2,8.9,.606,10.5,16.2,.176,.560,11.0,20.9,.110
48,48,2024-01-30,,IND,W,129,124,,129.5,124.5,99.6,.253,.414,.667,44.4,53.2,6.0,13.0,.638,11.0,18.4,.207,.519,6.5,36.5,.111
49,49,2024-02-01,,LAL,L,105,114,,108.6,117.9,96.7,.072,.495,.525,50.9,73.2,4.1,20.7,.505,13.0,27.5,.072,.505,6.2,27.3,.202
50,50,2024-02-04,,MEM,W,131,91,,133.1,92.5,98.4,.182,.515,.613,55.3,62.5,12.2,7.4,.581,9.3,36.2,.162,.440,17.1,28.6,.109
51,51,2024-02-07,,ATL,W,125,117,,120.3,112.6,103.9,.118,.527,.639,47.9,67.3,5.8,14.8,.618,12.5,14.3,.108,.485,7.5,25.0,.176
52,52,2024-02-09,,WAS,W,133,129,,123.3,119.6,107.9,.304,.370,.637,55.7,52.1,8.3,10.4,.582,11.1,20.9,.283,.579,10.3,11.1,.200
53,53,2024-02-11,@,MIA,W,110,106,,119.1,114.7,92.4,.210,.481,.622,48.3,65.9,1.1,15.8,.605,11.1,16.2,.148,.474,6.3,28.0,.144
54,54,2024-02-13,@,BRK,W,118,110,,123.0,114.7,95.9,.277,.446,.634,51.3,72.1,6.3,2.2,.608,13.1,18.9,.205,.589,11.7,17.9,.215
55,55,2024-02-14,,BRK,W,136,86,,146.2,92.4,93.0,.132,.495,.706,62.2,61.5,6.4,10.0,.692,9.4,28.6,.110,.444,12.0,12.8,.173
56,56,2024-02-22,@,CHI,W,129,112,,130.6,113.4,98.7,.253,.566,.699,44.4,60.0,10.1,16.7,.681,13.2,13.5,.193,.521,11.4,29.5,.149
57,57,2024-02-24,@,NYK,W,116,102,,140.3,123.4,82.7,.148,.432,.672,48.0,58.7,9.7,9.1,.660,7.5,31.4,.111,.530,13.6,37.5,.183
