,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2024-10-22,,NYK,W,132,109,,147.3,121.6,89.6,.084,.642,.670,54.1,68.8,6.7,6.3,.658,3.9,27.5,.074,.622,12.4,14.7,.154
2,2,2024-10-24,@,WAS,W,122,102,,119.0,99.5,102.5,.300,.500,.599,55.1,50.0,6.8,5.1,.561,12.1,28.6,.233,.468,12.7,21.3,.137
3,3,2024-10-26,@,DET,W,124,118,,126.8,120.7,97.8,.333,.533,.601,45.7,50.0,10.2,12.2,.544,8.8,27.1,.289,.568,13.3,27.3,.205
4,4,2024-10-28,,MIL,W,119,108,,115.5,104.9,103.0,.218,.540,.624,46.9,55.8,4.9,9.8,.598,12.8,10.3,.172,.500,15.1,19.0,.317
5,5,2024-10-30,@,IND,L,132,135,OT,115.8,118.5,103.2,.284,.523,.538,47.2,52.3,9.7,7.6,.491,10.2,30.5,.229,.553,14.2,32.7,.192
6,6,2024-11-01,@,CHO,W,124,109,,127.9,112.4,97.0,.407,.488,.611,49.4,51.2,12.4,11.6,.552,9.0,26.8,.337,.566,14.3,28.6,.066
7,7,2024-11-02,@,CHO,W,113,103,,115.5,105.3,97.8,.341,.634,.599,56.4,63.9,4.1,8.2,.537,13.7,22.9,.305,.533,12.0,16.3,.066
8,8,2024-11-04,@,ATL,W,123,93,,117.1,88.5,105.0,.131,.556,.587,53.8,56.3,14.3,12.1,.576,11.0,23.9,.091,.449,17.2,17.0,.146
9,9,2024-11-06,,GSW,L,112,118,,116.8,123.1,95.9,.233,.600,.564,47.0,57.9,5.2,5.3,.528,10.8,25.5,.189,.538,9.8,30.6,.220
10,10,2024-11-08,,BRK,W,108,104,OT,103.6,99.8,94.4,.211,.589,.549,43.3,59.0,6.7,14.5,.511,11.7,9.3,.178,.460,10.9,25.5,.120
11,11,2024-11-10,@,MIL,W,113,107,,115.6,109.5,97.8,.314,.581,.577,50.6,77.1,5.1,4.1,.517,10.9,18.2,.279,.562,12.6,12.8,.198
12,12,2024-11-12,,ATL,L,116,117,,117.7,118.7,98.6,.360,.600,.668,43.6,73.7,7.1,7.5,.627,18.7,19.4,.293,.556,13.3,40.4,.071
