,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
33,33,2022-12-23,,MIN,W,121,109,,120.0,108.1,100.8,.260,.460,.543,54.1,63.6,8.9,10.2,.505,9.7,37.0,.200,.538,14.8,25.0,.121
34,34,2022-12-25,,MIL,W,139,118,,137.5,116.8,101.1,.294,.459,.724,47.3,58.0,8.9,2.1,.700,11.1,13.9,.235,.577,13.5,21.1,.250
35,35,2022-12-27,,HOU,W,126,102,,125.0,101.2,100.8,.253,.615,.623,50.0,74.4,7.9,10.0,.582,9.8,20.0,.220,.474,12.9,24.5,.126
36,36,2022-12-29,,LAC,W,116,110,,117.0,111.0,99.1,.242,.429,.576,54.4,50.0,3.0,14.0,.544,10.6,25.0,.187,.567,12.0,17.4,.101
37,37,2023-01-01,@,DEN,L,111,123,,110.2,122.1,100.7,.310,.379,.561,53.9,75.0,7.9,6.1,.511,11.6,22.7,.253,.677,16.4,3.1,.203
38,38,2023-01-03,@,OKC,L,117,150,,109.2,140.0,107.1,.352,.455,.576,46.3,72.5,3.7,12.1,.523,14.3,23.9,.284,.694,10.8,25.0,.143
39,39,2023-01-05,@,DAL,W,124,95,,127.3,97.6,97.4,.369,.512,.635,55.3,70.7,6.2,13.8,.583,10.1,24.4,.310,.417,9.8,20.8,.222
40,40,2023-01-07,@,SAS,W,121,116,,114.1,109.4,106.1,.189,.358,.588,45.7,63.8,5.7,13.3,.574,12.0,17.0,.126,.525,10.9,25.5,.110
41,41,2023-01-09,,CHI,W,107,99,,114.4,105.8,93.5,.241,.471,.556,54.3,65.8,2.1,13.7,.500,8.6,20.0,.230,.523,8.0,12.8,.105
42,42,2023-01-11,,NOP,W,125,114,,128.3,117.0,97.4,.275,.484,.613,60.2,54.5,7.2,8.8,.566,8.1,27.5,.242,.580,8.7,9.3,.149
43,43,2023-01-12,@,BRK,W,109,98,,116.3,104.6,93.7,.198,.419,.583,60.8,56.1,4.3,12.0,.547,13.0,30.8,.174,.530,11.9,10.0,.107
44,44,2023-01-14,@,CHO,W,122,106,,129.1,112.1,94.5,.101,.535,.590,50.0,74.5,8.5,6.6,.571,6.3,28.0,.091,.511,10.2,23.8,.182
45,45,2023-01-16,@,CHO,W,130,118,,141.1,128.1,92.1,.287,.494,.663,55.3,79.1,1.1,6.8,.609,10.9,35.9,.276,.528,4.6,28.3,.256
46,46,2023-01-19,,GSW,W,121,118,OT,105.0,102.4,104.4,.278,.380,.499,57.3,48.8,8.7,10.4,.458,12.3,31.6,.204,.490,12.7,15.1,.200
47,47,2023-01-21,@,TOR,W,106,104,,111.8,109.7,94.8,.176,.412,.579,50.0,65.8,9.5,11.9,.541,14.1,23.9,.165,.576,13.6,16.7,.058
48,48,2023-01-23,@,ORL,L,98,113,,102.9,118.7,95.2,.133,.554,.558,48.1,66.7,5.3,7.0,.542,17.0,20.0,.096,.577,10.4,21.6,.190
49,49,2023-01-24,@,MIA,L,95,98,,99.6,102.8,95.3,.365,.432,.553,46.3,65.6,5.2,9.8,.500,16.5,11.9,.284,.426,7.1,26.4,.191
50,50,2023-01-26,,NYK,L,117,120,OT,112.1,114.9,94.6,.230,.460,.531,51.9,53.7,3.8,6.9,.490,10.6,27.3,.190,.526,8.6,20.4,.198
51,51,2023-01-28,,LAL,W,125,121,OT,116.2,112.5,97.4,.464,.476,.618,49.5,46.2,7.4,14.3,.542,10.6,16.3,.405,.505,9.5,22.0,.143
52,52,2023-02-01,,BRK,W,139,96,,144.3,99.7,96.3,.109,.587,.721,64.0,52.8,4.2,8.2,.717,11.1,28.9,.076,.460,6.8,9.8,.170
53,53,2023-02-03,,PHO,L,94,106,,95.3,107.5,98.6,.413,.507,.530,44.8,62.1,5.1,4.8,.453,14.5,6.5,.347,.495,8.2,20.0,.126
54,54,2023-02-06,@,DET,W,111,99,,118.6,105.8,93.6,.253,.446,.602,54.8,64.1,2.1,9.3,.566,11.5,23.3,.205,.477,8.6,18.0,.184
55,55,2023-02-08,,PHI,W,106,99,,118.5,110.6,89.5,.132,.461,.659,54.3,62.5,2.2,9.6,.651,15.7,14.7,.092,.506,7.1,17.0,.181
56,56,2023-02-10,,CHO,W,127,116,,121.1,110.6,104.9,.191,.618,.658,47.8,77.3,6.7,10.0,.635,13.5,12.2,.157,.527,11.1,22.4,.194
57,57,2023-02-12,,MEM,W,119,109,,125.5,115.0,94.8,.295,.580,.598,61.8,71.8,5.3,6.0,.563,10.0,32.6,.227,.571,7.9,7.0,.155
58,58,2023-02-14,@,MIL,L,125,131,OT,112.1,117.5,101.0,.202,.505,.580,45.8,60.9,7.2,2.1,.551,10.8,16.0,.162,.578,15.3,21.7,.300
59,59,2023-02-15,,DET,W,127,109,,130.2,111.8,97.5,.109,.489,.659,55.1,61.2,10.3,9.1,.647,10.2,21.6,.087,.577,13.3,14.6,.143
60,60,2023-02-23,@,IND,W,142,138,OT,136.1,132.3,94.5,.263,.394,.643,58.0,60.8,6.7,13.3,.606,12.0,42.6,.222,.638,12.6,24.4,.191
61,61,2023-02-25,@,PHI,W,110,107,,117.3,114.1,93.8,.140,.419,.603,51.2,46.5,6.4,7.8,.593,12.5,20.9,.093,.506,9.7,18.6,.359
62,62,2023-02-27,@,NYK,L,94,109,,98.2,113.9,95.7,.167,.500,.521,44.3,56.8,5.2,17.0,.494,11.7,15.9,.131,.551,13.9,20.0,.295
63,63,2023-03-01,,CLE,W,117,113,,122.9,118.7,95.2,.359,.410,.648,53.1,69.2,5.3,6.7,.603,12.6,20.0,.295,.543,6.5,21.7,.141
64,64,2023-03-03,,BRK,L,105,115,,102.4,112.2,102.5,.238,.345,.566,50.5,63.4,7.8,15.7,.542,17.0,20.9,.167,.495,10.9,25.0,.221
65,65,2023-03-05,,NYK,L,129,131,2OT,111.7,113.4,95.6,.229,.541,.538,50.0,62.8,6.9,9.3,.491,11.8,28.3,.202,.574,15.5,22.9,.232
66,66,2023-03-06,@,CLE,L,114,118,OT,108.2,112.0,95.4,.208,.475,.517,47.3,59.5,4.7,8.1,.495,11.3,26.3,.139,.510,12.3,30.2,.208
67,67,2023-03-08,,POR,W,115,93,,113.2,91.5,101.6,.227,.557,.594,48.9,61.9,8.9,4.7,.580,10.2,10.9,.148,.433,14.6,13.0,.268
68,68,2023-03-11,@,ATL,W,134,125,,130.8,122.0,102.5,.126,.442,.668,45.5,67.3,5.9,9.1,.653,8.2,12.5,.105,.550,8.5,27.1,.150
69,69,2023-03-13,@,HOU,L,109,111,,114.4,116.5,95.3,.241,.483,.566,44.2,48.7,7.3,9.1,.517,12.7,23.3,.218,.506,9.7,34.9,.222
70,70,2023-03-15,@,MIN,W,104,102,,107.0,105.0,97.2,.357,.476,.535,48.9,58.8,7.2,10.4,.476,10.2,17.4,.286,.512,12.2,18.2,.190
71,71,2023-03-17,@,POR,W,126,112,,124.6,110.8,101.1,.402,.483,.615,58.4,70.7,11.9,4.9,.557,15.0,38.3,.333,.570,17.0,19.0,.278
72,72,2023-03-18,@,UTA,L,117,118,,122.9,124.0,95.2,.182,.580,.616,41.7,71.4,2.1,3.6,.602,7.8,11.4,.125,.521,6.2,32.7,.175
73,73,2023-03-21,@,SAC,W,132,109,,140.3,115.9,94.1,.250,.478,.646,50.6,67.3,9.6,8.1,.630,5.5,25.6,.174,.586,13.4,23.8,.173
74,74,2023-03-24,,IND,W,120,95,,114.8,90.9,104.5,.204,.452,.592,52.7,63.6,10.5,10.3,.570,12.9,19.1,.151,.488,15.4,13.0,.155
75,75,2023-03-26,,SAS,W,137,93,,126.6,85.9,108.3,.231,.484,.683,61.6,55.8,3.7,18.0,.670,13.0,20.5,.165,.412,8.7,5.5,.134
76,76,2023-03-28,@,WAS,L,111,130,,106.4,124.6,104.3,.118,.473,.567,46.9,64.4,4.8,12.9,.543,10.9,15.9,.108,.611,9.5,16.2,.091
77,77,2023-03-30,@,MIL,W,140,99,,139.5,98.6,100.4,.220,.473,.701,51.1,54.9,8.0,8.6,.681,8.3,18.9,.176,.446,10.9,27.3,.089
78,78,2023-03-31,,UTA,W,122,114,,116.7,109.0,104.6,.229,.531,.577,44.7,64.3,7.6,6.0,.526,10.2,20.4,.219,.526,15.0,28.9,.135
79,79,2023-04-04,@,PHI,L,101,103,,113.4,115.7,89.0,.176,.495,.515,53.8,73.7,4.5,8.2,.500,7.5,29.5,.110,.571,12.4,16.7,.179
80,80,2023-04-05,,TOR,W,97,93,,100.6,96.5,96.4,.202,.427,.500,49.0,52.6,5.2,12.3,.489,13.4,22.9,.112,.444,11.0,26.0,.144
81,81,2023-04-07,,TOR,W,121,102,,126.6,106.7,95.6,.259,.543,.670,60.2,82.2,4.2,11.3,.648,18.9,36.1,.198,.478,7.4,23.1,.140
82,82,2023-04-09,,ATL,W,120,114,,124.8,118.6,96.1,.157,.607,.631,48.5,78.6,5.2,5.2,.612,13.6,26.1,.124,.510,7.9,31.4,.155
