,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2021-10-20,@,NYK,L,134,138,2OT,105.9,109.1,104.7,.197,.487,.527,50.5,70.8,10.3,15.0,.500,12.4,23.8,.145,.567,14.0,14.6,.181
2,2,2021-10-22,,TOR,L,83,115,,84.6,117.2,98.1,.134,.415,.478,41.2,59.4,6.1,18.5,.457,22.4,20.4,.098,.470,9.9,39.6,.210
3,3,2021-10-24,@,HOU,W,107,97,,108.3,98.2,98.8,.233,.547,.564,51.8,57.9,10.1,14.0,.529,11.2,14.6,.186,.520,18.9,11.9,.253
4,4,2021-10-25,@,CHO,W,140,129,OT,125.2,115.3,101.3,.248,.495,.625,50.5,66.0,7.2,15.3,.589,9.7,22.4,.208,.539,10.8,25.0,.175
5,5,2021-10-27,,WAS,L,107,116,,108.7,117.8,98.5,.329,.341,.550,44.0,48.6,9.1,8.5,.494,11.8,21.7,.271,.565,14.2,28.9,.250
6,6,2021-10-30,@,WAS,L,112,115,2OT,94.7,97.3,97.9,.234,.243,.475,46.6,52.3,6.8,14.7,.421,9.2,13.8,.206,.413,9.8,20.7,.279
7,7,2021-11-01,,CHI,L,114,128,,114.7,128.8,99.4,.208,.344,.544,43.2,47.6,10.1,1.8,.516,7.9,24.5,.156,.645,16.1,28.6,.198
8,8,2021-11-03,@,ORL,W,92,79,,98.1,84.2,93.8,.316,.468,.511,52.1,72.7,7.5,22.0,.481,10.9,19.1,.203,.375,13.9,16.3,.190
9,9,2021-11-04,@,MIA,W,95,78,,105.3,86.5,90.2,.256,.526,.547,50.5,51.6,7.8,10.0,.500,15.6,25.6,.218,.401,16.8,27.1,.160
