,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
10,10,2021-11-06,@,DAL,L,104,107,,112.5,115.7,92.4,.186,.360,.559,47.4,47.6,6.5,5.1,.541,10.6,19.5,.128,.609,15.1,20.0,.154
11,11,2021-11-10,,TOR,W,104,88,,106.1,89.8,98.0,.160,.309,.517,51.8,50.0,10.2,9.6,.500,13.0,25.5,.106,.468,17.4,15.8,.208
12,12,2021-11-12,,MIL,W,122,113,OT,120.8,111.9,91.4,.188,.427,.587,57.6,46.8,5.0,13.7,.552,14.1,37.2,.167,.531,11.2,24.5,.092
13,13,2021-11-13,@,CLE,L,89,91,,97.0,99.2,91.7,.231,.295,.518,54.7,60.6,7.6,7.0,.462,18.9,25.0,.218,.444,10.8,19.6,.235
14,14,2021-11-15,@,CLE,W,98,92,,103.9,97.5,94.3,.256,.372,.565,52.3,63.9,7.4,14.0,.526,13.9,14.6,.205,.482,13.5,14.9,.145
15,15,2021-11-17,@,ATL,L,99,110,,106.0,117.8,93.4,.202,.488,.541,51.2,64.9,9.6,4.5,.506,13.3,26.1,.167,.586,13.6,16.7,.185
16,16,2021-11-19,,LAL,W,130,108,,129.6,107.7,100.3,.432,.341,.621,60.7,50.0,7.0,3.7,.563,11.8,31.6,.352,.536,11.3,15.2,.214
17,17,2021-11-20,,OKC,W,111,105,,118.2,111.8,93.9,.159,.443,.589,47.1,68.3,4.3,13.0,.563,6.9,17.0,.136,.500,8.8,27.3,.094
18,18,2021-11-22,,HOU,W,108,90,,105.3,87.8,102.6,.207,.380,.538,58.0,48.7,9.8,7.3,.489,13.0,22.4,.196,.440,13.8,7.8,.205
19,19,2021-11-24,,BRK,L,104,123,,108.1,127.9,96.2,.308,.527,.503,47.4,73.5,6.2,10.0,.434,9.6,27.3,.275,.588,9.2,25.0,.271
20,20,2021-11-26,@,SAS,L,88,96,,91.4,99.7,96.3,.163,.370,.446,49.0,58.8,4.2,12.7,.424,10.0,21.1,.109,.471,10.3,17.0,.161
21,21,2021-11-28,@,TOR,W,109,97,,113.3,100.9,96.2,.378,.415,.570,54.6,70.6,5.2,5.9,.488,15.8,28.6,.354,.446,9.9,25.5,.151
22,22,2021-12-01,,PHI,W,88,87,,94.4,93.3,93.3,.190,.354,.514,50.0,54.5,5.4,13.8,.487,13.2,9.5,.139,.416,6.8,16.0,.146
23,23,2021-12-03,@,UTA,L,130,137,,130.1,137.1,100.0,.242,.429,.646,40.5,48.9,9.0,10.0,.593,5.6,12.5,.242,.722,18.0,26.5,.247
24,24,2021-12-04,@,POR,W,145,117,,147.3,118.8,98.5,.333,.425,.727,59.0,53.1,5.1,11.7,.684,10.7,34.3,.299,.517,8.0,20.9,.281
25,25,2021-12-07,@,LAL,L,102,117,,102.5,117.5,99.5,.354,.402,.538,40.0,75.0,8.0,6.1,.500,12.1,15.6,.244,.559,13.7,32.5,.140
26,26,2021-12-08,@,LAC,L,111,114,,108.2,111.1,102.6,.244,.372,.583,55.3,63.4,10.7,5.7,.535,19.5,32.6,.221,.553,17.4,21.4,.235
27,27,2021-12-10,@,PHO,L,90,111,,93.2,115.0,96.6,.258,.280,.435,46.5,37.1,7.2,10.3,.398,11.2,27.8,.172,.521,10.6,31.1,.115
28,28,2021-12-13,,MIL,W,117,103,,121.3,106.8,96.5,.151,.547,.638,47.1,72.1,6.2,9.3,.616,12.4,17.1,.128,.506,12.7,25.0,.133
29,29,2021-12-17,,GSW,L,107,111,,109.5,113.6,97.7,.354,.500,.565,50.0,55.6,5.1,4.5,.530,14.4,25.0,.244,.522,12.4,26.1,.189
30,30,2021-12-18,,NYK,W,114,107,,118.6,111.3,96.1,.191,.506,.591,51.7,54.8,6.2,6.8,.567,11.9,26.1,.146,.519,13.1,19.5,.300
31,31,2021-12-20,,PHI,L,103,108,,104.6,109.6,98.5,.305,.329,.554,55.3,42.1,9.1,10.6,.506,16.2,25.6,.244,.569,16.6,6.1,.361
32,32,2021-12-22,,CLE,W,111,101,,111.2,101.2,99.8,.196,.326,.555,47.5,55.8,12.0,9.3,.527,11.5,24.0,.152,.440,13.5,29.4,.217
33,33,2021-12-25,@,MIL,L,113,117,,114.3,118.4,98.9,.270,.506,.567,47.8,63.2,9.1,13.8,.522,12.3,25.0,.225,.538,11.2,31.3,.209
34,34,2021-12-27,@,MIN,L,103,108,,104.0,109.1,99.0,.315,.528,.508,50.0,69.7,8.1,17.9,.461,12.1,26.3,.236,.522,12.5,22.4,.156
35,35,2021-12-29,,LAC,L,82,91,,90.7,100.7,90.4,.109,.416,.387,50.5,54.3,8.9,15.1,.366,7.0,34.4,.079,.475,15.3,23.7,.173
36,36,2021-12-31,,PHO,W,123,108,,126.3,110.9,97.4,.313,.325,.651,58.0,62.2,6.2,10.8,.602,16.0,37.1,.277,.465,8.5,28.3,.150
37,37,2022-01-02,,ORL,W,116,111,OT,106.3,101.7,98.8,.326,.419,.590,50.5,64.1,4.6,14.7,.529,18.3,20.5,.291,.468,13.0,21.3,.232
38,38,2022-01-05,,SAS,L,97,99,,106.2,108.4,91.3,.100,.311,.516,46.1,47.5,11.0,14.5,.494,9.6,26.5,.089,.534,16.6,30.0,.057
39,39,2022-01-06,@,NYK,L,105,108,,115.6,118.9,90.8,.163,.563,.612,47.5,57.9,5.5,18.5,.581,13.2,20.5,.150,.544,10.2,26.8,.111
40,40,2022-01-08,,NYK,W,99,75,,115.7,87.6,85.6,.224,.382,.593,52.9,72.2,9.3,16.7,.553,12.6,23.7,.197,.437,14.1,23.4,.076
41,41,2022-01-10,,IND,W,101,98,OT,94.4,91.6,96.9,.318,.318,.503,53.0,48.6,9.3,10.5,.443,16.6,24.5,.261,.441,16.5,19.6,.160
42,42,2022-01-12,@,IND,W,119,100,,128.5,108.0,92.6,.321,.487,.669,50.0,57.5,6.5,10.0,.628,12.7,21.2,.269,.506,11.2,26.8,.151
43,43,2022-01-14,@,PHI,L,99,111,,101.8,114.1,97.3,.231,.397,.576,52.4,54.1,4.1,9.1,.545,18.9,17.5,.179,.529,9.4,15.9,.247
44,44,2022-01-15,,CHI,W,114,112,,126.9,124.7,89.8,.211,.289,.580,61.0,61.4,6.7,10.3,.539,10.1,40.5,.189,.575,6.0,17.5,.138
45,45,2022-01-17,,NOP,W,104,92,,107.5,95.1,96.8,.250,.400,.586,53.4,57.9,6.2,7.0,.538,13.6,13.2,.225,.466,11.2,16.0,.126
46,46,2022-01-19,,CHO,L,102,111,,104.3,113.5,97.8,.144,.511,.533,44.7,69.2,8.2,6.4,.511,12.8,18.2,.111,.581,15.5,26.8,.128
47,47,2022-01-21,,POR,L,105,109,,111.7,116.0,94.0,.280,.451,.570,50.0,67.6,7.4,16.3,.518,11.5,18.6,.244,.579,12.7,17.1,.276
48,48,2022-01-23,@,WAS,W,116,87,,119.3,89.5,97.3,.233,.433,.584,56.4,65.0,5.1,5.1,.550,11.6,23.9,.189,.398,6.5,16.4,.140
49,49,2022-01-25,,SAC,W,128,75,,132.4,77.6,96.7,.068,.437,.603,59.8,62.7,6.2,9.7,.592,9.4,36.2,.058,.337,10.6,23.1,.116
50,50,2022-01-28,@,ATL,L,92,108,,94.7,111.1,97.2,.314,.419,.470,54.7,50.0,5.1,13.8,.390,15.5,32.0,.291,.528,10.9,20.0,.157
51,51,2022-01-29,@,NOP,W,107,97,,112.4,101.9,95.2,.136,.506,.623,51.8,72.1,6.3,14.0,.617,14.9,16.2,.086,.488,14.0,19.6,.207
52,52,2022-01-31,,MIA,W,122,92,,127.2,95.9,95.9,.321,.500,.636,53.7,54.5,9.4,14.0,.619,9.4,24.3,.214,.489,17.2,22.2,.080
53,53,2022-02-02,,CHO,W,113,107,,113.1,107.1,99.9,.207,.439,.631,47.7,73.8,9.0,10.6,.598,17.5,15.8,.183,.494,13.9,28.0,.241
54,54,2022-02-04,@,DET,W,102,93,,105.0,95.7,97.2,.305,.341,.548,49.5,62.2,4.1,11.5,.506,13.1,23.4,.232,.375,8.9,31.3,.144
55,55,2022-02-06,@,ORL,W,116,83,,115.8,82.9,100.1,.141,.465,.552,57.9,64.4,9.0,10.9,.520,13.2,33.3,.131,.389,17.4,17.0,.247
56,56,2022-02-08,@,BRK,W,126,91,,126.8,91.6,99.4,.176,.440,.643,56.5,64.0,6.0,12.7,.626,12.5,30.6,.132,.434,11.8,26.8,.051
57,57,2022-02-11,,DEN,W,108,102,,105.2,99.4,102.6,.313,.385,.495,50.9,63.2,12.7,17.4,.448,9.9,31.0,.229,.494,17.7,25.0,.144
58,58,2022-02-13,,ATL,W,105,95,,108.3,98.0,96.9,.318,.447,.542,52.9,58.3,5.2,10.9,.488,11.0,24.5,.259,.430,11.5,20.8,.161
59,59,2022-02-15,@,PHI,W,135,87,,145.5,93.7,92.8,.268,.549,.736,56.0,60.9,2.2,20.8,.713,10.7,20.0,.220,.338,8.5,21.4,.413
60,60,2022-02-16,,DET,L,111,112,,115.0,116.0,96.5,.234,.416,.654,39.0,69.0,8.3,9.5,.630,16.7,6.5,.182,.548,14.7,39.1,.108
61,61,2022-02-24,@,BRK,W,129,106,,124.4,102.2,103.7,.318,.494,.666,55.8,60.9,8.7,4.6,.641,12.6,21.1,.235,.452,9.4,16.7,.223
62,62,2022-02-26,@,DET,W,113,104,,118.8,109.3,95.2,.239,.295,.581,47.4,73.8,5.3,10.0,.534,9.3,24.4,.216,.489,12.6,27.0,.218
63,63,2022-02-27,@,IND,L,107,128,,109.3,130.7,97.9,.220,.473,.536,44.9,64.1,5.1,15.8,.495,9.1,23.5,.187,.617,12.4,26.3,.189
64,64,2022-03-01,,ATL,W,107,98,,113.2,103.7,94.5,.229,.422,.586,56.0,69.2,4.2,15.4,.536,13.3,25.6,.217,.476,9.7,12.2,.229
65,65,2022-03-03,,MEM,W,120,107,,130.3,116.2,92.1,.169,.416,.628,53.7,71.7,4.3,11.9,.607,12.8,35.7,.135,.490,6.3,32.1,.101
66,66,2022-03-06,,BRK,W,126,120,,128.6,122.4,98.0,.458,.434,.632,45.1,62.5,9.2,11.3,.584,9.1,23.3,.349,.573,14.1,30.8,.202
67,67,2022-03-09,@,CHO,W,115,101,,122.6,107.7,93.8,.151,.398,.580,50.5,65.2,10.7,15.4,.559,10.0,34.0,.118,.471,14.1,32.6,.247
68,68,2022-03-11,,DET,W,114,103,,120.1,108.5,94.9,.333,.356,.552,52.8,54.8,10.5,6.1,.500,8.0,29.5,.267,.482,13.0,24.4,.277
69,69,2022-03-13,,DAL,L,92,95,,97.7,100.9,94.2,.216,.420,.477,51.7,48.5,8.5,8.1,.426,10.2,22.4,.193,.547,17.9,10.5,.189
70,70,2022-03-16,@,GSW,W,110,88,,120.2,96.2,91.5,.272,.494,.607,58.2,60.5,4.4,10.5,.562,9.9,20.5,.235,.436,7.9,13.5,.151
71,71,2022-03-18,@,SAC,W,126,97,,131.9,101.5,95.5,.207,.488,.704,53.8,71.7,11.5,2.3,.695,12.7,17.1,.146,.500,15.2,17.8,.228
72,72,2022-03-20,@,DEN,W,124,104,,136.3,114.3,91.0,.134,.488,.714,48.1,61.7,4.4,12.5,.689,9.4,15.2,.134,.483,10.1,28.3,.230
73,73,2022-03-21,@,OKC,W,132,123,,131.6,122.6,100.3,.395,.465,.654,50.0,50.0,8.0,12.5,.599,8.2,15.8,.337,.608,10.0,21.7,.108
74,74,2022-03-23,,UTA,W,125,97,,137.5,106.7,90.9,.083,.429,.718,49.4,74.0,8.8,19.2,.708,13.0,25.0,.071,.443,12.6,34.0,.216
75,75,2022-03-27,,MIN,W,134,112,,137.0,114.5,97.8,.241,.448,.696,60.0,55.1,7.2,9.6,.661,11.9,27.8,.218,.619,13.6,10.3,.095
76,76,2022-03-28,@,TOR,L,112,115,OT,106.7,109.6,95.1,.295,.421,.522,52.3,59.0,4.8,10.4,.474,13.7,30.8,.232,.481,8.1,28.1,.123
77,77,2022-03-30,,MIA,L,98,106,,95.4,103.2,102.8,.271,.435,.515,51.2,77.1,8.8,2.2,.476,15.9,17.4,.200,.563,16.7,10.0,.215
78,78,2022-04-01,,IND,W,128,123,,132.1,126.9,96.9,.337,.398,.671,57.1,64.4,7.2,8.9,.614,14.4,33.3,.313,.623,14.9,21.6,.272
79,79,2022-04-03,,WAS,W,144,102,,151.9,107.6,94.8,.143,.484,.744,54.9,69.6,6.3,8.2,.742,7.6,21.9,.099,.512,11.7,17.9,.220
80,80,2022-04-06,@,CHI,W,117,94,,118.0,94.8,99.2,.250,.420,.599,51.2,67.4,11.1,10.5,.585,11.7,19.5,.159,.481,15.9,17.1,.213
81,81,2022-04-07,@,MIL,L,121,127,,118.8,124.7,101.8,.218,.575,.634,47.8,69.8,7.9,6.8,.615,14.4,19.0,.161,.577,9.4,28.0,.155
82,82,2022-04-10,@,MEM,W,139,110,,136.2,107.8,102.1,.131,.485,.664,55.4,63.0,4.9,3.6,.636,12.5,35.0,.131,.456,8.1,31.1,.167
