,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
35,35,2017-12-21,@,NYK,L,93,102,,100.3,110.0,92.7,.221,.442,.493,41.7,51.5,11.9,1.5,.459,9.6,19.1,.163,.506,15.8,29.7,.278
36,36,2017-12-23,,CHI,W,117,92,,119.8,94.2,97.7,.228,.348,.578,47.4,65.9,9.2,7.5,.543,5.6,17.0,.185,.436,13.4,24.0,.198
37,37,2017-12-25,,WAS,L,103,111,,105.9,114.1,97.3,.210,.358,.582,48.9,51.3,2.1,6.0,.568,16.1,19.5,.136,.495,7.9,27.5,.204
38,38,2017-12-27,@,CHO,W,102,91,,111.4,99.4,91.5,.167,.436,.609,45.3,54.1,4.4,10.9,.571,16.0,15.4,.167,.408,10.7,33.9,.230
39,39,2017-12-28,,HOU,W,99,98,,99.8,98.8,99.2,.293,.354,.535,50.6,48.6,9.1,21.6,.500,15.5,21.7,.207,.463,15.4,17.1,.300
40,40,2017-12-31,,BRK,W,108,105,,108.5,105.5,99.5,.316,.418,.600,52.6,53.8,7.0,13.6,.582,15.9,19.0,.203,.468,9.6,20.8,.168
41,41,2018-01-03,,CLE,W,102,88,,100.7,86.9,101.3,.120,.391,.527,52.0,65.9,8.9,3.5,.511,14.2,18.8,.087,.393,13.4,17.3,.202
42,42,2018-01-05,,MIN,W,91,84,,101.2,93.4,89.9,.138,.383,.456,56.6,63.2,6.7,7.5,.436,9.9,33.3,.096,.414,12.0,18.8,.276
43,43,2018-01-06,@,BRK,W,87,85,,89.3,87.3,97.4,.153,.184,.416,44.4,32.4,8.2,21.7,.403,4.6,21.8,.082,.363,15.2,27.3,.209
44,44,2018-01-11,@,PHI,W,114,103,,110.1,99.5,103.5,.213,.393,.585,55.4,55.8,10.6,3.7,.556,15.6,24.4,.169,.530,17.4,7.9,.195
45,45,2018-01-16,,NOP,L,113,116,OT,101.5,104.2,100.9,.158,.495,.523,49.1,67.5,6.3,4.1,.490,15.0,22.2,.139,.485,11.9,24.1,.190
46,46,2018-01-18,,PHI,L,80,89,,83.6,93.0,95.7,.230,.392,.491,43.1,43.3,7.3,8.9,.453,18.9,8.3,.176,.507,23.7,22.2,.205
47,47,2018-01-21,,ORL,L,95,103,,102.3,110.9,92.9,.165,.318,.521,50.0,59.5,6.5,12.7,.482,14.1,26.2,.153,.500,9.2,28.3,.120
48,48,2018-01-23,@,LAL,L,107,108,,108.8,109.8,98.3,.111,.489,.567,45.2,52.4,3.1,7.7,.550,10.4,15.9,.089,.478,8.6,28.6,.231
49,49,2018-01-24,@,LAC,W,113,102,,110.8,100.0,102.0,.237,.430,.550,54.0,64.1,9.8,5.2,.495,11.2,25.0,.226,.475,16.5,21.3,.342
50,50,2018-01-27,@,GSW,L,105,109,,108.8,113.0,96.5,.282,.329,.549,51.1,45.9,6.2,3.5,.518,14.3,25.0,.200,.512,11.2,22.7,.274
51,51,2018-01-29,@,DEN,W,111,110,,118.1,117.0,94.0,.110,.396,.582,46.0,65.1,4.3,10.0,.566,10.3,23.8,.088,.505,9.7,33.3,.172
52,52,2018-01-31,,NYK,W,103,73,,106.2,75.3,97.0,.241,.313,.561,52.7,67.5,8.3,4.3,.548,9.8,12.5,.145,.339,12.7,17.0,.161
53,53,2018-02-02,,ATL,W,119,110,,118.9,109.9,100.1,.225,.270,.608,53.8,57.8,8.0,6.1,.567,10.1,17.9,.202,.494,11.2,10.3,.388
54,54,2018-02-04,,POR,W,97,96,,104.6,103.6,92.7,.200,.424,.524,52.6,68.6,3.2,10.0,.500,10.6,20.0,.141,.467,7.6,19.2,.121
55,55,2018-02-06,@,TOR,L,91,111,,94.5,115.3,96.3,.241,.277,.496,48.7,63.6,3.1,6.8,.458,15.6,20.5,.181,.606,14.6,14.7,.175
56,56,2018-02-08,@,WAS,W,110,104,OT,102.9,97.3,96.8,.405,.310,.556,46.4,41.0,8.4,8.7,.518,15.4,16.7,.274,.463,17.5,30.9,.168
57,57,2018-02-09,,IND,L,91,97,,99.0,105.5,91.9,.225,.303,.465,41.8,47.1,5.4,12.7,.421,9.3,23.1,.180,.476,13.9,33.3,.217
58,58,2018-02-11,,CLE,L,99,121,,101.6,124.2,97.4,.247,.427,.502,51.2,61.1,3.1,7.4,.461,13.2,26.5,.191,.631,10.6,14.3,.179
59,59,2018-02-14,,LAC,L,119,129,,117.8,127.7,101.0,.216,.320,.560,51.7,57.1,4.0,11.9,.510,7.0,23.4,.206,.563,8.1,16.7,.341
60,60,2018-02-23,@,DET,W,110,98,,119.1,106.2,92.3,.212,.459,.592,48.3,73.2,8.7,9.6,.582,10.6,23.3,.129,.494,12.1,27.3,.165
61,61,2018-02-24,@,NYK,W,121,112,,117.9,109.1,102.7,.301,.355,.574,47.9,50.0,10.7,7.2,.522,9.5,23.4,.258,.500,11.8,27.7,.167
62,62,2018-02-26,,MEM,W,109,98,,115.1,103.5,94.7,.314,.430,.557,52.4,64.1,5.3,9.1,.523,7.6,20.5,.221,.468,9.8,12.5,.321
63,63,2018-02-28,,CHO,W,134,106,,136.3,107.8,98.3,.172,.230,.716,58.8,57.4,3.1,6.3,.690,10.5,14.3,.161,.511,6.5,17.3,.143
64,64,2018-03-03,@,HOU,L,120,123,,122.3,125.3,98.2,.231,.264,.599,48.7,50.0,6.1,7.9,.555,11.5,25.0,.209,.557,9.9,26.3,.299
65,65,2018-03-05,@,CHI,W,105,89,,110.1,93.3,95.3,.143,.429,.588,59.6,61.0,7.3,8.3,.560,18.3,29.3,.131,.469,13.5,14.6,.160
66,66,2018-03-08,@,MIN,W,117,109,,118.6,110.5,98.6,.310,.368,.592,49.5,65.1,7.1,3.2,.557,10.0,20.9,.230,.532,11.5,26.0,.096
67,67,2018-03-11,,IND,L,97,99,,102.3,104.4,94.8,.259,.457,.537,51.9,76.5,10.5,8.5,.494,15.1,23.3,.210,.556,17.4,15.8,.111
68,68,2018-03-14,,WAS,L,124,125,2OT,109.2,110.1,94.0,.232,.263,.568,45.8,62.5,7.9,7.7,.545,13.5,20.4,.162,.536,15.5,27.7,.216
69,69,2018-03-16,@,ORL,W,92,83,,95.8,86.4,96.1,.341,.317,.488,57.9,51.6,7.3,10.2,.433,16.8,32.7,.256,.420,14.0,15.2,.115
70,70,2018-03-18,@,NOP,L,89,108,,90.3,109.6,98.5,.230,.299,.465,50.0,48.6,8.1,4.7,.454,11.9,18.8,.115,.537,12.3,12.5,.244
71,71,2018-03-20,,OKC,W,100,99,,99.8,98.8,100.2,.184,.414,.532,54.2,61.1,6.0,8.6,.489,16.8,23.4,.172,.471,11.7,16.3,.224
72,72,2018-03-23,@,POR,W,105,100,,114.9,109.4,91.4,.338,.234,.594,51.1,62.9,5.5,6.9,.526,12.8,22.0,.312,.484,7.6,23.4,.132
73,73,2018-03-25,@,SAC,W,104,93,,113.7,101.7,91.5,.236,.306,.654,50.7,57.5,9.8,3.6,.639,16.8,10.0,.167,.506,13.9,17.9,.122
74,74,2018-03-26,@,PHO,W,102,94,,109.2,100.6,93.4,.161,.333,.547,48.4,64.9,10.7,6.5,.506,11.4,21.7,.161,.519,16.0,24.4,.123
75,75,2018-03-28,@,UTA,W,97,94,,104.7,101.5,92.6,.253,.266,.552,48.3,57.1,11.9,4.1,.519,17.0,25.0,.190,.470,14.9,27.9,.207
76,76,2018-03-31,,TOR,W,110,99,,116.0,104.4,94.8,.307,.193,.551,47.1,47.5,6.3,6.7,.494,5.7,17.8,.261,.513,14.3,21.4,.213
77,77,2018-04-03,@,MIL,L,102,106,,107.7,111.9,94.7,.296,.284,.557,47.4,50.0,10.6,10.2,.512,15.7,23.8,.235,.576,14.5,25.0,.190
78,78,2018-04-04,@,TOR,L,78,96,,84.1,103.5,92.7,.373,.293,.447,47.3,40.0,7.5,5.1,.353,16.3,18.2,.333,.489,10.3,25.5,.065
79,79,2018-04-06,,CHI,W,111,104,,110.6,103.6,100.4,.210,.420,.627,51.7,77.8,9.0,10.7,.642,16.9,15.0,.086,.547,15.4,18.4,.116
80,80,2018-04-08,,ATL,L,106,112,,111.6,117.9,95.0,.244,.280,.584,52.6,78.6,9.5,11.8,.567,11.7,23.8,.159,.587,12.4,13.9,.128
81,81,2018-04-10,@,WAS,L,101,113,,100.5,112.5,100.5,.310,.379,.511,46.3,66.7,13.9,1.9,.454,14.7,24.1,.253,.584,17.9,24.4,.193
82,82,2018-04-11,,BRK,W,110,97,,108.9,96.0,101.0,.147,.235,.506,58.5,47.8,5.9,11.8,.480,11.4,37.0,.118,.467,14.0,19.2,.132
