,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2017-10-17,@,CLE,L,99,102,,98.7,101.7,100.3,.284,.364,.500,47.9,66.7,11.0,6.6,.455,10.8,18.0,.216,.488,15.3,19.6,.253
2,2,2017-10-18,,MIL,L,100,108,,100.6,108.7,99.4,.231,.308,.499,48.9,59.0,12.1,3.6,.489,13.0,22.0,.121,.546,14.4,15.8,.329
3,3,2017-10-20,@,PHI,W,102,92,,102.0,92.0,100.0,.381,.345,.520,53.9,45.7,4.0,8.3,.476,16.2,29.8,.262,.435,14.7,25.5,.130
4,4,2017-10-24,,NYK,W,110,89,,115.2,93.2,95.5,.360,.387,.633,48.8,70.3,11.5,9.6,.587,13.9,13.5,.293,.429,12.7,23.4,.188
5,5,2017-10-26,@,MIL,W,96,89,,99.4,92.2,96.6,.282,.385,.547,54.9,63.6,7.2,7.7,.494,15.4,14.6,.244,.526,17.0,4.9,.104
6,6,2017-10-28,@,MIA,W,96,90,,102.4,96.0,93.7,.321,.284,.519,50.6,44.1,11.7,10.4,.457,11.5,24.4,.272,.475,18.1,16.7,.190
7,7,2017-10-30,,SAS,W,108,94,,116.5,101.4,92.7,.182,.352,.568,57.4,57.1,10.8,9.8,.540,13.6,34.9,.148,.483,10.3,23.5,.115
8,8,2017-11-01,,SAC,W,113,86,,125.7,95.6,89.9,.232,.500,.625,66.7,75.0,11.1,4.9,.591,16.6,45.7,.195,.469,14.8,16.3,.123
9,9,2017-11-03,@,OKC,W,101,94,,109.2,101.7,92.5,.286,.333,.534,50.5,63.9,6.5,3.8,.506,10.4,22.9,.190,.477,11.4,22.4,.126
10,10,2017-11-05,@,ORL,W,104,88,,104.0,88.0,100.0,.225,.371,.532,54.5,66.7,10.0,1.6,.500,12.5,20.5,.169,.396,11.6,18.2,.176
11,11,2017-11-06,@,ATL,W,110,107,,114.0,110.9,96.5,.272,.444,.607,53.8,71.8,3.1,5.5,.568,13.4,18.4,.222,.562,13.5,12.5,.198
12,12,2017-11-08,,LAL,W,107,96,,104.5,93.7,102.4,.316,.296,.479,50.0,52.6,7.8,9.8,.423,11.1,30.8,.245,.465,17.4,27.3,.200
13,13,2017-11-10,,CHO,W,90,87,,91.9,88.9,97.9,.298,.369,.474,51.0,50.0,6.1,8.6,.411,12.0,18.4,.250,.425,12.9,14.9,.238
14,14,2017-11-12,,TOR,W,95,94,,105.7,104.5,89.9,.218,.299,.498,56.1,68.6,10.0,4.4,.460,13.6,33.3,.172,.536,17.7,16.2,.290
15,15,2017-11-14,@,BRK,W,109,102,,109.0,102.0,100.0,.314,.314,.557,53.3,38.5,8.0,5.7,.506,12.5,20.9,.256,.523,13.6,18.4,.114
16,16,2017-11-16,,GSW,W,92,88,,92.8,88.8,99.1,.481,.405,.481,52.5,57.7,8.1,10.0,.373,13.5,14.9,.418,.463,14.2,13.5,.146
17,17,2017-11-18,@,ATL,W,110,99,,117.5,105.8,93.6,.244,.415,.606,53.9,53.8,9.6,11.1,.573,14.2,23.7,.195,.532,13.9,15.8,.205
18,18,2017-11-20,@,DAL,W,110,102,OT,103.9,96.3,95.9,.310,.429,.576,54.1,63.2,7.6,6.3,.530,15.1,11.9,.250,.443,9.5,14.3,.177
19,19,2017-11-22,@,MIA,L,98,104,,101.4,107.6,96.6,.321,.310,.511,43.5,54.3,11.4,7.5,.470,10.3,14.6,.226,.556,15.4,18.9,.173
20,20,2017-11-24,,ORL,W,118,103,,123.2,107.6,95.8,.275,.462,.578,47.4,64.3,6.3,14.1,.555,8.1,27.1,.187,.479,10.4,32.7,.126
21,21,2017-11-25,@,IND,W,108,98,,116.9,106.1,92.4,.113,.313,.643,45.5,48.9,8.7,7.3,.625,15.2,13.3,.100,.532,18.3,27.8,.192
22,22,2017-11-27,,DET,L,108,118,,113.5,124.0,95.1,.273,.429,.626,47.4,67.5,2.1,6.7,.623,16.5,13.5,.156,.582,7.8,20.5,.224
23,23,2017-11-30,,PHI,W,108,97,,113.7,102.1,95.0,.253,.367,.615,47.1,62.5,7.4,13.5,.582,16.2,18.9,.203,.512,17.1,31.3,.131
24,24,2017-12-02,,PHO,W,116,111,,122.2,116.9,94.9,.288,.388,.644,39.7,76.2,8.4,7.8,.613,9.1,11.4,.225,.510,10.2,37.2,.079
25,25,2017-12-04,,MIL,W,111,100,,119.6,107.7,92.8,.244,.282,.643,61.6,58.1,5.4,5.3,.615,14.8,24.2,.192,.506,10.1,7.5,.269
26,26,2017-12-06,,DAL,W,97,90,,100.7,93.4,96.3,.195,.391,.513,54.1,69.4,8.3,13.8,.483,11.3,18.8,.149,.448,10.5,12.0,.151
27,27,2017-12-08,@,SAS,L,102,105,,113.5,116.8,89.9,.205,.458,.564,45.9,36.8,11.1,0.0,.524,13.4,25.6,.181,.519,12.4,33.3,.259
28,28,2017-12-10,@,DET,W,91,81,,101.6,90.5,89.5,.228,.380,.523,52.1,48.5,4.5,7.8,.487,13.9,20.5,.177,.393,9.8,21.2,.179
29,29,2017-12-11,@,CHI,L,85,108,,93.4,118.6,91.0,.169,.482,.477,50.0,66.7,2.2,3.8,.458,15.2,23.4,.108,.556,8.9,22.2,.222
30,30,2017-12-13,,DEN,W,124,118,,127.6,121.4,97.2,.304,.316,.692,38.5,61.7,10.3,11.1,.665,13.5,12.5,.241,.544,13.5,43.5,.209
31,31,2017-12-15,,UTA,L,95,107,,97.1,109.4,97.8,.221,.360,.503,36.0,57.1,10.2,8.6,.459,8.7,4.2,.186,.560,15.0,23.7,.169
32,32,2017-12-16,@,MEM,W,102,93,,116.9,106.6,87.3,.175,.375,.592,52.5,53.8,6.9,13.3,.575,16.5,33.3,.125,.494,13.9,26.3,.190
33,33,2017-12-18,@,IND,W,112,111,,114.6,113.5,97.8,.177,.329,.658,50.0,59.1,6.1,6.9,.658,19.0,17.1,.101,.513,12.0,22.0,.380
34,34,2017-12-20,,MIA,L,89,90,,95.5,96.5,93.2,.263,.400,.499,48.9,60.0,5.4,10.6,.456,10.1,11.1,.200,.507,14.9,13.3,.187
