,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2020-12-23,,MIL,W,122,121,,121.5,120.5,100.4,.109,.396,.576,41.6,47.9,8.0,10.9,.564,6.2,19.6,.079,.589,14.0,28.9,.167
2,2,2020-12-25,,BRK,L,95,123,,99.2,128.5,95.7,.194,.276,.447,52.2,62.2,6.3,10.6,.418,12.4,37.0,.133,.638,15.1,25.0,.342
3,3,2020-12-27,@,IND,L,107,108,,106.6,107.6,100.3,.304,.291,.597,51.9,52.5,13.0,11.3,.563,16.7,17.1,.228,.551,14.5,19.0,.125
4,4,2020-12-29,@,IND,W,116,111,,117.5,112.4,98.8,.463,.275,.602,54.4,52.5,10.1,5.9,.556,12.7,27.3,.338,.583,14.1,11.4,.155
5,5,2020-12-30,,MEM,W,126,107,,120.2,102.1,104.8,.154,.429,.648,47.7,55.1,16.2,18.3,.626,14.1,23.8,.132,.478,17.5,30.4,.194
6,6,2021-01-01,@,DET,L,93,96,,91.0,94.0,102.2,.169,.373,.522,47.8,51.3,11.7,20.4,.518,19.1,16.3,.084,.472,17.1,24.5,.148
7,7,2021-01-03,@,DET,W,122,120,,126.7,124.6,96.3,.149,.379,.658,55.4,71.4,4.2,10.0,.649,16.3,32.4,.103,.570,9.3,21.6,.256
8,8,2021-01-04,@,TOR,W,126,114,,119.7,108.3,105.2,.405,.345,.637,60.2,46.3,2.9,17.0,.577,16.8,29.3,.345,.472,8.6,15.4,.322
9,9,2021-01-06,@,MIA,W,107,105,,115.3,113.2,92.8,.121,.354,.513,55.8,52.4,7.5,11.1,.485,6.3,30.8,.111,.512,8.9,14.0,.272
10,10,2021-01-08,,WAS,W,116,107,,110.5,101.9,105.0,.349,.372,.585,56.3,51.2,10.5,6.8,.547,17.5,26.2,.256,.528,15.2,15.6,.159
11,11,2021-01-15,,ORL,W,124,97,,125.1,97.8,99.1,.216,.477,.643,49.5,55.6,7.1,6.1,.608,10.2,16.2,.193,.441,11.1,27.8,.149
12,12,2021-01-17,,NYK,L,75,105,,78.1,109.4,96.0,.345,.548,.388,44.8,60.0,10.4,4.1,.339,15.7,24.6,.214,.550,16.0,25.6,.213
13,13,2021-01-20,@,PHI,L,109,117,,112.0,120.2,97.3,.225,.371,.557,52.3,52.4,3.1,0.0,.539,14.1,25.0,.146,.519,8.4,23.9,.462
14,14,2021-01-22,@,PHI,L,110,122,,111.2,123.3,99.0,.222,.333,.557,41.6,56.1,10.1,9.4,.522,11.6,22.2,.178,.630,17.9,31.3,.247
15,15,2021-01-24,,CLE,W,141,103,,135.4,98.9,104.1,.290,.301,.672,61.8,50.0,13.4,15.4,.634,13.2,36.1,.247,.459,14.5,20.8,.294
16,16,2021-01-25,@,CHI,W,119,103,,117.8,101.9,101.1,.230,.333,.621,51.8,63.6,8.9,12.2,.592,11.9,15.8,.184,.563,17.1,19.1,.045
17,17,2021-01-27,@,SAS,L,106,110,,106.8,110.8,99.3,.143,.306,.509,45.9,35.7,10.1,7.4,.480,10.3,26.0,.122,.610,18.3,25.7,.122
18,18,2021-01-30,,LAL,L,95,96,,103.2,104.3,92.1,.171,.256,.539,48.3,60.0,10.9,11.3,.524,14.5,22.0,.110,.494,13.2,28.3,.155
19,19,2021-02-02,@,GSW,W,111,107,,114.5,110.4,96.9,.321,.405,.579,58.6,41.0,3.1,8.7,.542,14.3,28.6,.238,.548,10.6,13.3,.193
20,20,2021-02-03,@,SAC,L,111,116,,113.3,118.4,98.0,.337,.384,.562,50.6,71.8,9.2,5.5,.517,11.6,25.6,.256,.527,9.7,26.1,.207
21,21,2021-02-05,@,LAC,W,119,115,,125.9,121.7,94.5,.233,.422,.600,42.0,48.8,8.5,2.0,.567,6.6,19.6,.189,.605,15.1,28.6,.210
22,22,2021-02-07,@,PHO,L,91,100,,104.5,114.8,87.1,.129,.473,.463,45.1,57.6,6.9,3.8,.446,5.8,24.1,.086,.537,10.3,24.3,.146
23,23,2021-02-09,@,UTA,L,108,122,,118.2,133.6,91.4,.267,.337,.562,46.1,47.4,2.2,5.6,.517,8.6,26.2,.221,.583,10.3,29.4,.286
24,24,2021-02-11,,TOR,W,120,106,,120.1,106.1,99.9,.326,.453,.610,60.5,76.9,8.0,10.9,.570,16.2,32.6,.256,.548,12.5,7.9,.181
25,25,2021-02-12,,DET,L,102,108,,105.4,111.6,96.8,.366,.329,.536,50.0,41.7,9.3,4.9,.488,9.5,15.6,.268,.525,12.4,14.0,.316
26,26,2021-02-14,@,WAS,L,91,104,,87.1,99.5,104.5,.333,.389,.441,48.1,43.8,4.8,3.8,.406,14.1,23.7,.200,.440,15.4,20.0,.373
27,27,2021-02-16,,DEN,W,112,99,,115.5,102.1,97.0,.259,.519,.621,53.1,66.7,7.2,2.0,.574,19.6,27.0,.235,.506,15.8,25.0,.167
28,28,2021-02-17,,ATL,L,114,122,,116.7,124.9,97.7,.314,.360,.582,50.0,55.0,9.2,5.7,.523,14.0,27.5,.279,.623,14.2,23.5,.338
29,29,2021-02-19,,ATL,W,121,109,,120.7,108.7,100.3,.111,.389,.641,51.8,52.0,8.0,20.0,.633,16.0,24.3,.078,.478,12.2,27.1,.256
30,30,2021-02-21,@,NOP,L,115,120,OT,105.8,110.4,98.5,.347,.378,.509,48.5,56.4,8.3,19.0,.449,8.9,21.6,.276,.505,10.5,24.0,.266
31,31,2021-02-23,@,DAL,L,107,110,,113.9,117.1,93.9,.209,.453,.570,54.8,46.3,6.4,10.7,.547,12.2,28.6,.151,.545,9.5,19.0,.146
32,32,2021-02-24,@,ATL,L,112,127,,118.1,134.0,94.8,.242,.326,.533,44.4,47.6,10.5,14.0,.484,5.4,26.7,.211,.665,15.5,33.3,.165
33,33,2021-02-26,,IND,W,118,112,,119.5,113.4,98.7,.354,.268,.623,52.9,57.1,3.0,14.0,.567,11.2,17.9,.305,.478,8.1,17.4,.303
34,34,2021-02-28,,WAS,W,111,110,,109.0,108.0,101.8,.270,.337,.557,57.6,59.5,6.9,0.0,.528,16.0,31.0,.191,.506,12.6,16.3,.298
35,35,2021-03-02,,LAC,W,117,112,,133.8,128.1,87.4,.267,.372,.609,55.1,59.5,6.9,8.2,.581,8.6,35.9,.198,.598,9.0,25.6,.092
36,36,2021-03-04,,TOR,W,132,125,,133.5,126.4,98.9,.541,.392,.721,58.2,55.6,6.1,17.1,.696,14.9,31.0,.392,.610,12.4,21.1,.154
37,37,2021-03-11,@,BRK,L,109,121,,111.4,123.7,97.8,.242,.440,.541,46.4,53.7,10.2,21.7,.522,9.8,24.4,.154,.585,13.3,28.2,.205
38,38,2021-03-14,@,HOU,W,134,107,,130.1,103.9,103.0,.228,.402,.662,59.8,56.9,7.8,7.3,.652,12.1,27.0,.152,.473,9.5,18.2,.231
39,39,2021-03-16,,UTA,L,109,117,,115.2,123.7,94.6,.041,.296,.546,54.2,58.3,8.5,13.5,.541,12.3,36.4,.031,.594,15.8,25.6,.275
40,40,2021-03-17,@,CLE,L,110,117,,114.7,122.0,95.9,.330,.432,.546,50.0,47.5,10.4,17.6,.511,10.6,31.3,.227,.608,16.1,21.9,.365
41,41,2021-03-19,,SAC,L,96,107,,101.6,113.3,94.5,.077,.341,.510,50.0,56.4,8.5,7.8,.495,14.5,26.1,.066,.531,13.2,25.0,.259
42,42,2021-03-21,,ORL,W,112,96,,121.5,104.1,92.2,.102,.625,.609,50.6,67.5,6.5,6.0,.585,9.8,16.7,.102,.446,5.8,19.1,.250
43,43,2021-03-22,@,MEM,L,126,132,OT,117.2,122.8,97.3,.267,.389,.626,44.3,66.0,2.8,8.0,.617,11.4,11.9,.167,.555,7.9,30.9,.091
44,44,2021-03-24,@,MIL,L,119,121,,119.7,121.7,99.4,.106,.500,.605,45.2,53.3,9.1,11.3,.580,11.7,21.4,.106,.594,13.9,31.0,.156
45,45,2021-03-26,@,MIL,W,122,114,,121.2,113.3,100.6,.182,.534,.642,47.3,62.8,9.9,15.4,.614,13.6,19.5,.159,.540,13.4,30.8,.071
46,46,2021-03-27,@,OKC,W,111,94,,109.4,92.6,101.5,.146,.396,.543,51.0,50.0,9.9,8.9,.521,10.5,20.0,.115,.476,16.1,19.2,.181
47,47,2021-03-29,,NOP,L,109,115,,108.0,113.9,101.0,.204,.462,.538,49.5,52.5,5.0,17.6,.505,12.1,23.5,.161,.598,13.6,19.0,.207
48,48,2021-03-31,,DAL,L,108,113,,105.9,110.8,102.0,.245,.500,.519,45.6,51.3,10.8,5.3,.473,8.0,17.0,.202,.617,18.5,12.5,.234
49,49,2021-04-02,,HOU,W,118,102,,120.8,104.4,97.7,.136,.466,.633,55.6,76.1,9.2,14.0,.619,13.9,26.8,.102,.500,12.6,20.4,.186
50,50,2021-04-04,,CHO,W,116,86,,128.0,94.9,90.6,.117,.574,.587,51.2,67.4,12.1,10.2,.569,5.7,29.8,.096,.463,16.1,23.1,.150
51,51,2021-04-06,,PHI,L,96,106,,102.6,113.2,93.6,.257,.486,.616,45.7,57.6,5.3,12.2,.571,22.0,9.4,.229,.527,12.6,23.7,.397
52,52,2021-04-07,,NYK,W,101,99,,103.6,101.5,97.5,.233,.465,.533,57.6,61.1,6.2,13.7,.506,17.4,32.0,.163,.512,13.3,11.9,.155
53,53,2021-04-09,,MIN,W,145,136,OT,129.6,121.6,101.3,.391,.483,.711,54.9,68.1,8.0,9.3,.649,17.1,24.3,.368,.568,12.1,20.0,.281
54,54,2021-04-11,@,DEN,W,105,87,,113.3,93.9,92.6,.264,.379,.541,53.1,51.3,4.3,13.0,.489,10.2,23.3,.230,.409,8.6,23.6,.170
55,55,2021-04-13,@,POR,W,116,115,,115.1,114.1,100.8,.267,.389,.577,50.0,71.4,5.0,8.5,.550,9.0,19.1,.189,.572,12.6,17.8,.133
56,56,2021-04-15,@,LAL,W,121,113,,118.7,110.8,102.0,.153,.376,.667,57.1,68.8,3.9,9.8,.647,18.8,21.9,.129,.510,7.0,21.2,.133
57,57,2021-04-17,,GSW,W,119,114,,123.9,118.7,96.1,.213,.489,.579,52.9,40.9,9.4,5.0,.548,8.1,30.4,.170,.619,16.9,20.5,.188
58,58,2021-04-19,,CHI,L,96,102,,100.3,106.6,95.7,.195,.325,.574,49.4,58.3,8.4,5.1,.532,16.1,8.8,.182,.511,11.2,20.0,.099
59,59,2021-04-22,,PHO,W,99,86,,101.9,88.6,97.1,.312,.519,.565,55.8,60.6,7.2,3.8,.506,20.8,26.3,.273,.443,15.6,20.8,.091
60,60,2021-04-23,@,BRK,L,104,109,,101.7,106.6,102.3,.170,.447,.515,53.5,55.3,5.9,11.1,.495,15.8,26.8,.117,.494,10.1,13.3,.279
61,61,2021-04-25,@,CHO,L,104,125,,107.2,128.9,97.0,.295,.466,.523,47.1,52.9,6.2,4.0,.466,11.6,23.4,.250,.618,10.1,25.0,.108
62,62,2021-04-27,,OKC,L,115,119,,103.3,106.9,111.3,.258,.505,.532,43.3,51.2,14.4,13.7,.479,11.5,16.3,.227,.562,21.8,24.4,.346
63,63,2021-04-28,,CHO,W,120,111,,127.0,117.5,94.5,.239,.435,.590,62.1,59.1,9.5,15.4,.560,12.1,46.3,.185,.500,9.8,23.9,.276
64,64,2021-04-30,,SAS,W,143,140,OT,128.6,125.9,100.7,.343,.362,.592,54.7,63.3,6.3,10.3,.552,9.7,32.7,.257,.592,9.2,18.6,.337
65,65,2021-05-02,,POR,L,119,129,,117.0,126.8,101.7,.169,.438,.622,55.6,67.4,2.9,12.8,.596,15.8,23.3,.146,.629,9.4,7.9,.259
66,66,2021-05-05,@,ORL,W,132,96,,128.7,93.6,102.5,.125,.469,.652,50.0,54.9,7.8,15.0,.641,9.8,20.5,.094,.424,16.3,21.7,.282
67,67,2021-05-07,@,CHI,L,99,121,,101.9,124.6,97.1,.267,.453,.515,47.5,54.3,5.1,13.6,.471,12.7,22.9,.209,.525,7.8,29.4,.172
68,68,2021-05-09,,MIA,L,124,130,,124.8,130.8,99.4,.301,.458,.660,49.3,64.4,7.0,6.4,.627,13.0,15.8,.241,.671,10.7,9.7,.244
69,69,2021-05-11,,MIA,L,121,129,,120.9,128.9,100.1,.193,.420,.634,42.7,67.4,8.0,9.8,.625,10.3,7.5,.125,.691,13.4,17.1,.210
70,70,2021-05-12,@,CLE,L,94,102,,95.3,103.4,98.7,.139,.406,.439,45.5,38.9,9.1,14.3,.416,6.1,21.3,.099,.500,14.8,17.5,.275
71,71,2021-05-15,@,MIN,W,124,108,,120.8,105.3,102.6,.189,.442,.602,46.3,58.7,7.8,10.3,.579,12.7,22.5,.147,.437,10.6,36.4,.263
72,72,2021-05-16,@,NYK,L,92,96,,98.8,103.1,93.1,.174,.477,.497,52.9,54.3,4.3,11.5,.471,11.5,19.6,.128,.513,11.2,9.8,.190
