,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
23,23,2018-12-01,@,MIN,W,118,109,,118.7,109.7,99.4,.247,.518,.626,50.6,75.0,9.1,5.6,.571,12.9,18.9,.247,.506,14.3,21.4,.317
24,24,2018-12-06,,NYK,W,128,100,,127.1,99.3,100.7,.217,.413,.635,49.5,65.3,7.9,10.7,.603,8.2,17.5,.185,.462,14.6,26.4,.176
25,25,2018-12-08,@,CHI,W,133,77,,142.5,82.5,93.3,.161,.462,.668,59.3,68.0,10.7,7.0,.656,6.6,31.0,.118,.420,16.3,16.3,.111
26,26,2018-12-10,,NOP,W,113,100,,113.9,100.8,99.2,.211,.433,.574,56.7,52.3,8.1,8.2,.556,13.2,29.8,.144,.494,12.0,14.0,.161
27,27,2018-12-12,@,WAS,W,130,125,OT,118.9,114.3,99.0,.240,.365,.565,54.9,42.6,5.5,3.4,.505,10.9,29.8,.240,.571,12.6,18.2,.231
28,28,2018-12-14,,ATL,W,129,108,,120.5,100.9,107.0,.211,.411,.621,51.6,60.9,14.0,18.8,.584,17.5,31.7,.189,.512,19.3,32.0,.233
29,29,2018-12-15,@,DET,L,104,113,,100.7,109.4,103.3,.245,.351,.499,47.8,48.7,10.6,8.0,.463,11.9,24.0,.181,.550,17.3,23.8,.313
30,30,2018-12-19,,PHO,L,103,111,,106.8,115.1,96.4,.165,.459,.565,39.8,68.4,13.5,21.7,.535,14.9,20.5,.141,.484,13.9,42.9,.188
31,31,2018-12-21,,MIL,L,107,120,,106.8,119.8,100.2,.396,.374,.501,39.6,62.9,13.0,7.5,.440,4.5,17.0,.297,.613,18.5,28.9,.275
32,32,2018-12-23,,CHO,W,119,103,,121.6,105.3,97.9,.291,.453,.613,56.0,69.8,8.2,7.1,.576,12.6,28.2,.233,.477,10.0,20.0,.216
33,33,2018-12-25,,PHI,W,121,114,OT,108.6,102.3,100.9,.185,.380,.518,49.5,46.7,7.2,7.7,.481,7.2,21.7,.157,.495,15.4,17.6,.250
34,34,2018-12-27,@,HOU,L,113,127,,116.0,130.3,97.4,.383,.383,.597,40.2,73.7,9.2,7.3,.543,10.4,13.3,.309,.581,11.4,34.0,.314
35,35,2018-12-29,@,MEM,W,112,103,,117.3,107.9,95.5,.225,.450,.637,50.0,72.5,10.5,8.0,.600,16.2,20.0,.200,.520,16.1,21.6,.316
36,36,2018-12-31,@,SAS,L,111,120,,112.5,121.7,98.6,.227,.386,.573,48.2,69.8,5.1,12.3,.551,11.0,20.5,.159,.571,10.0,20.5,.176
37,37,2019-01-02,,MIN,W,115,102,,119.8,106.2,96.0,.197,.395,.696,49.3,75.6,10.4,14.8,.671,16.2,10.3,.171,.518,13.9,21.1,.179
38,38,2019-01-04,,DAL,W,114,93,,117.1,95.5,97.4,.115,.469,.565,52.0,83.3,12.3,9.1,.547,11.4,26.9,.094,.449,12.7,22.0,.159
39,39,2019-01-07,,BRK,W,116,95,,111.5,91.3,104.0,.129,.344,.590,47.8,78.7,12.5,5.4,.570,12.5,13.6,.108,.475,22.0,19.6,.253
40,40,2019-01-09,,IND,W,135,108,,132.6,106.1,101.8,.273,.364,.685,55.2,64.0,6.9,11.1,.648,12.4,25.0,.239,.478,9.4,23.5,.231
41,41,2019-01-10,@,MIA,L,99,115,,103.8,120.6,95.4,.191,.382,.513,42.0,55.6,5.2,14.0,.472,10.2,18.0,.169,.573,8.3,26.3,.052
42,42,2019-01-12,@,ORL,L,103,105,,104.8,106.8,98.3,.311,.356,.503,47.9,50.0,7.1,6.5,.467,7.3,19.6,.211,.494,13.7,20.0,.262
43,43,2019-01-14,@,BRK,L,102,109,,102.7,109.8,99.3,.253,.396,.504,42.7,56.8,10.1,16.7,.467,10.6,19.2,.187,.506,14.9,29.5,.256
44,44,2019-01-16,,TOR,W,117,108,,120.9,111.6,96.8,.141,.326,.599,53.8,69.6,7.2,9.5,.576,13.3,33.3,.120,.484,11.4,28.6,.207
45,45,2019-01-18,,MEM,W,122,116,,122.0,116.0,100.0,.256,.442,.638,57.1,65.9,5.0,15.8,.610,15.1,25.0,.198,.533,8.2,17.6,.196
46,46,2019-01-19,@,ATL,W,113,105,,111.7,103.8,101.1,.284,.364,.571,46.7,48.7,9.9,15.7,.511,13.2,23.4,.261,.500,16.9,28.9,.141
47,47,2019-01-21,,MIA,W,107,99,,107.7,99.7,99.3,.115,.345,.585,48.6,60.5,13.1,13.7,.563,17.2,22.2,.103,.483,17.6,26.3,.186
48,48,2019-01-23,,CLE,W,123,103,,123.8,103.6,99.4,.267,.291,.640,49.4,55.6,12.1,8.8,.593,12.7,23.7,.244,.511,18.0,30.6,.161
49,49,2019-01-26,,GSW,L,111,115,,109.8,113.7,101.1,.152,.404,.526,48.0,56.1,5.9,8.0,.490,11.7,26.3,.141,.518,13.3,24.4,.349
50,50,2019-01-28,,BRK,W,112,104,,107.8,100.1,103.9,.100,.400,.536,52.0,64.4,10.6,23.2,.515,14.7,33.3,.090,.442,13.4,30.8,.126
51,51,2019-01-30,,CHO,W,126,94,,132.5,98.9,95.1,.178,.322,.649,63.1,68.0,10.5,14.3,.622,11.0,33.3,.156,.511,11.5,14.6,.034
52,52,2019-02-01,@,NYK,W,113,99,,114.6,100.4,98.6,.100,.370,.541,47.3,54.3,11.2,12.7,.525,6.3,21.6,.080,.506,16.5,20.0,.140
53,53,2019-02-03,,OKC,W,134,129,,127.4,122.7,105.2,.187,.374,.680,47.5,66.7,7.6,10.5,.665,12.4,13.9,.143,.565,9.3,25.0,.272
54,54,2019-02-05,@,CLE,W,103,96,,110.5,103.0,93.2,.171,.317,.584,47.2,72.5,10.7,15.9,.543,12.9,20.0,.171,.464,12.3,30.6,.073
55,55,2019-02-07,,LAL,L,128,129,,128.9,129.9,99.3,.213,.404,.623,52.7,76.1,7.0,8.9,.574,7.2,25.0,.213,.629,7.1,21.3,.072
56,56,2019-02-09,,LAC,L,112,123,,102.8,112.9,109.0,.337,.283,.530,47.9,53.8,8.3,5.6,.473,10.2,15.7,.272,.548,14.3,14.0,.369
57,57,2019-02-12,@,PHI,W,112,109,,118.7,115.6,94.3,.239,.330,.576,46.6,58.5,9.5,5.7,.540,4.9,17.8,.193,.544,13.0,23.3,.275
58,58,2019-02-13,,DET,W,118,110,,120.1,112.0,98.2,.170,.443,.624,53.4,71.1,8.1,4.5,.602,14.5,24.4,.136,.506,10.0,21.3,.298
59,59,2019-02-21,@,MIL,L,97,98,,98.7,99.7,98.3,.059,.392,.463,47.6,48.7,11.2,18.4,.451,6.3,20.7,.049,.500,14.5,19.1,.114
60,60,2019-02-23,@,CHI,L,116,126,,117.8,128.0,98.4,.228,.315,.573,39.5,57.8,6.1,12.1,.543,6.5,13.6,.174,.602,11.8,29.7,.227
61,61,2019-02-26,@,TOR,L,95,118,,95.7,118.8,99.3,.326,.349,.483,51.1,72.7,6.0,6.9,.419,12.5,21.3,.267,.580,8.2,17.8,.096
62,62,2019-02-27,,POR,L,92,97,,95.8,101.0,96.1,.116,.326,.509,46.1,50.0,5.2,7.0,.494,15.8,18.6,.081,.456,10.8,28.3,.167
63,63,2019-03-01,,WAS,W,107,96,,105.8,94.9,101.1,.181,.372,.527,46.5,61.9,11.9,5.9,.500,10.6,20.8,.138,.461,15.6,23.9,.157
64,64,2019-03-03,,HOU,L,104,115,,111.3,123.1,93.4,.377,.364,.579,51.2,62.2,7.5,0.0,.532,12.7,20.0,.286,.606,11.5,21.7,.225
65,65,2019-03-05,@,GSW,W,128,95,,122.3,90.8,104.6,.177,.354,.618,50.5,77.6,11.5,10.0,.583,9.6,20.0,.167,.447,18.8,19.6,.224
66,66,2019-03-06,@,SAC,W,111,109,,109.9,107.9,101.0,.266,.418,.629,46.7,65.0,10.9,2.0,.589,16.9,8.1,.228,.581,16.7,15.8,.200
67,67,2019-03-09,@,LAL,W,120,107,,116.6,104.0,102.9,.151,.409,.605,50.0,66.7,5.8,7.8,.591,11.6,14.6,.108,.511,10.8,17.8,.154
68,68,2019-03-11,@,LAC,L,115,140,,110.3,134.3,104.3,.209,.396,.579,38.2,59.1,10.5,6.9,.560,11.6,15.9,.143,.692,17.1,31.3,.244
69,69,2019-03-14,,SAC,W,126,120,,116.6,111.1,108.0,.268,.289,.581,52.5,65.3,6.5,3.3,.552,10.7,20.4,.196,.563,8.7,16.0,.137
70,70,2019-03-16,,ATL,W,129,120,,121.0,112.6,106.6,.398,.387,.590,47.9,68.2,9.4,11.7,.543,11.4,26.2,.301,.505,13.3,35.2,.190
71,71,2019-03-18,,DEN,L,105,114,,104.2,113.1,100.8,.204,.419,.518,42.0,61.5,11.9,9.1,.484,11.4,23.1,.161,.564,16.2,30.6,.085
72,72,2019-03-20,@,PHI,L,115,118,,116.9,119.9,98.4,.167,.333,.558,46.0,48.9,1.0,5.3,.531,8.0,21.3,.135,.439,7.6,32.1,.433
73,73,2019-03-23,@,CHO,L,117,124,,115.3,122.2,101.5,.161,.462,.587,44.2,70.5,5.9,14.0,.575,9.9,15.2,.108,.537,9.3,28.6,.232
74,74,2019-03-24,,SAS,L,96,115,,99.9,119.7,96.1,.170,.372,.475,46.9,60.5,4.2,2.7,.441,7.3,21.6,.138,.551,7.3,24.4,.071
75,75,2019-03-26,@,CLE,W,116,106,,117.1,107.0,99.0,.209,.275,.584,56.1,50.0,8.1,5.8,.560,9.1,25.0,.154,.544,14.2,7.9,.238
76,76,2019-03-29,,IND,W,114,112,,117.3,115.2,97.2,.198,.314,.610,51.2,61.4,8.2,7.9,.587,13.0,20.6,.151,.533,10.7,28.0,.178
77,77,2019-03-30,@,BRK,L,96,110,,95.8,109.8,100.2,.277,.241,.515,49.4,54.3,8.0,15.6,.470,13.9,16.7,.217,.530,12.8,13.5,.265
78,78,2019-04-01,,MIA,W,110,105,,111.3,106.2,98.9,.264,.440,.542,50.5,69.4,8.1,3.9,.489,11.3,26.4,.231,.511,13.5,20.5,.170
79,79,2019-04-03,@,MIA,W,112,102,,113.9,103.7,98.3,.388,.300,.598,47.2,65.8,8.1,11.9,.531,11.4,16.2,.338,.474,12.6,30.8,.126
80,80,2019-04-05,@,IND,W,117,97,,116.4,96.5,100.5,.174,.293,.591,52.1,56.3,7.0,8.7,.560,10.0,16.7,.152,.467,9.9,19.2,.120
81,81,2019-04-07,,ORL,L,108,116,,106.5,114.4,101.4,.157,.348,.567,46.4,66.7,8.9,7.0,.539,12.8,15.0,.135,.522,13.8,25.0,.244
82,82,2019-04-09,@,WAS,W,116,110,,113.2,107.4,102.4,.232,.444,.532,46.3,60.0,9.8,5.2,.530,5.2,22.4,.111,.495,12.5,26.0,.144
