,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2018-10-16,,PHI,W,105,87,,100.2,83.0,104.8,.144,.381,.509,53.9,50.0,6.7,8.2,.490,12.7,22.6,.103,.420,14.1,12.2,.161
2,2,2018-10-19,@,TOR,L,101,113,,101.7,113.8,99.3,.101,.364,.488,50.0,72.5,4.0,10.5,.475,13.4,30.2,.071,.538,11.5,26.7,.152
3,3,2018-10-20,@,NYK,W,103,101,,103.7,101.7,99.3,.402,.305,.534,50.5,63.6,8.1,3.8,.457,13.5,23.9,.341,.483,13.9,23.4,.195
4,4,2018-10-22,,ORL,L,90,93,,93.4,96.5,96.4,.099,.440,.474,51.0,56.8,6.2,5.2,.456,11.2,18.0,.077,.462,8.5,16.0,.075
5,5,2018-10-25,@,OKC,W,101,95,,100.5,94.6,100.5,.384,.372,.502,44.1,57.6,7.0,1.5,.448,10.7,19.6,.279,.431,13.2,31.4,.149
6,6,2018-10-27,@,DET,W,109,89,,108.0,88.2,100.9,.291,.395,.562,53.5,64.1,4.0,15.4,.535,11.8,16.3,.198,.410,10.1,11.5,.180
7,7,2018-10-30,,DET,W,108,105,,105.0,102.0,102.9,.381,.369,.551,47.9,67.6,7.8,6.9,.494,12.5,17.0,.298,.466,14.5,22.4,.261
8,8,2018-11-01,,MIL,W,117,113,,115.5,111.6,101.3,.141,.598,.599,48.3,73.2,4.9,14.3,.576,11.7,17.8,.120,.535,12.5,19.0,.259
9,9,2018-11-03,@,IND,L,101,102,,104.5,105.6,96.6,.102,.523,.549,50.0,60.5,6.2,14.8,.540,13.2,21.3,.068,.483,11.8,18.6,.221
10,10,2018-11-05,@,DEN,L,107,115,,110.7,119.0,96.7,.138,.356,.580,46.0,50.0,9.3,16.1,.557,11.5,17.9,.115,.528,11.3,31.3,.222
11,11,2018-11-08,@,PHO,W,116,109,OT,107.1,100.6,98.1,.320,.381,.524,57.1,53.8,5.5,10.3,.474,12.6,30.9,.247,.500,12.9,9.3,.172
12,12,2018-11-09,@,UTA,L,115,123,,117.8,126.0,97.6,.250,.489,.589,38.4,79.5,11.3,7.0,.540,7.6,11.9,.227,.643,15.9,25.8,.312
13,13,2018-11-11,@,POR,L,94,100,,98.2,104.5,95.7,.108,.452,.483,43.3,52.8,11.5,10.0,.462,11.8,21.6,.086,.535,18.9,32.6,.093
14,14,2018-11-14,,CHI,W,111,82,,109.4,80.8,101.5,.156,.378,.577,52.0,64.3,11.8,8.2,.550,12.7,16.7,.133,.435,20.0,14.0,.107
15,15,2018-11-16,,TOR,W,123,116,OT,114.0,107.5,97.7,.270,.292,.618,51.7,53.2,8.3,8.8,.579,15.3,22.0,.225,.474,11.3,22.9,.247
16,16,2018-11-17,,UTA,L,86,98,,90.2,102.7,95.4,.220,.363,.431,52.6,45.7,11.5,10.0,.412,12.3,30.4,.121,.519,14.3,17.1,.218
17,17,2018-11-19,@,CHO,L,112,117,,111.0,115.9,100.9,.202,.360,.578,48.2,68.9,8.9,12.5,.556,11.0,18.2,.146,.567,12.4,19.5,.180
18,18,2018-11-21,,NYK,L,109,117,,107.1,115.0,101.8,.330,.340,.491,50.5,78.9,9.8,15.3,.443,6.7,27.3,.237,.579,15.0,20.5,.157
19,19,2018-11-23,@,ATL,W,114,96,,106.4,89.6,107.1,.231,.440,.569,51.8,73.8,10.3,15.2,.533,13.8,16.7,.187,.469,18.3,12.2,.247
20,20,2018-11-24,@,DAL,L,104,113,,106.2,115.4,97.9,.151,.326,.567,49.4,46.3,8.2,6.5,.535,16.4,23.1,.140,.575,14.3,28.3,.149
21,21,2018-11-26,@,NOP,W,124,107,,124.6,107.5,99.5,.103,.402,.611,51.2,56.3,14.1,8.9,.593,12.9,31.1,.093,.519,19.7,24.3,.351
22,22,2018-11-30,,CLE,W,128,95,,136.2,101.1,94.0,.174,.337,.646,56.6,61.2,4.3,7.3,.625,9.2,30.8,.141,.435,12.3,20.5,.364
