,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
27,27,2025-12-19,,MIA,W,129,116,,125.5,112.8,102.8,.293,.524,.697,49.5,56.8,7.8,15.1,.665,14.7,16.7,.244,.485,10.4,29.8,.167
28,28,2025-12-20,@,TOR,W,112,96,,121.5,104.2,92.2,.158,.411,.551,59.8,50.0,7.6,10.0,.526,9.8,37.8,.126,.506,11.6,19.1,.092
29,29,2025-12-22,,IND,W,103,95,,109.4,100.9,94.2,.213,.416,.529,57.6,50.0,6.4,13.3,.489,11.8,28.9,.180,.465,12.3,19.1,.188
30,30,2025-12-26,@,IND,W,140,122,,142.7,124.4,98.1,.410,.470,.715,55.1,55.3,8.2,6.7,.687,12.5,33.3,.313,.596,12.5,26.2,.180
31,31,2025-12-28,@,POR,L,108,114,,107.2,113.2,100.7,.209,.484,.543,44.8,47.5,12.9,13.2,.511,16.1,27.3,.165,.573,16.9,37.2,.135
32,32,2025-12-30,@,UTA,W,129,119,,130.5,120.3,98.9,.245,.468,.619,52.4,56.3,8.1,20.0,.580,7.1,26.2,.213,.563,11.7,21.4,.241
33,33,2026-01-01,@,SAC,W,120,106,,126.1,111.4,95.2,.207,.471,.632,55.6,56.8,8.4,12.2,.603,12.0,17.2,.172,.541,8.9,18.6,.165
34,34,2026-01-03,@,LAC,W,146,115,,160.8,126.7,90.8,.198,.531,.700,60.5,56.6,4.4,13.0,.677,5.4,42.1,.167,.589,9.9,21.1,.190
35,35,2026-01-05,,CHI,W,115,101,,121.0,106.3,95.0,.125,.500,.524,54.5,52.4,7.4,10.0,.500,6.8,33.9,.106,.535,12.6,15.0,.105
36,36,2026-01-07,,DEN,L,110,114,,120.7,125.1,91.1,.158,.400,.541,57.6,37.2,6.6,14.0,.532,12.1,43.8,.095,.563,8.4,27.3,.184
37,37,2026-01-09,,TOR,W,125,117,,136.0,127.3,91.9,.218,.322,.655,56.3,59.6,3.3,11.1,.621,9.5,29.0,.195,.587,6.8,22.5,.098
38,38,2026-01-10,,SAS,L,95,100,,99.1,104.3,95.9,.043,.473,.501,49.5,57.9,5.2,9.8,.495,9.5,18.0,.032,.453,7.2,21.8,.147
39,39,2026-01-12,@,IND,L,96,98,,103.9,106.1,92.4,.102,.398,.522,53.5,55.0,9.7,2.1,.506,11.5,22.2,.080,.560,12.2,12.2,.048
40,40,2026-01-15,@,MIA,W,119,114,,127.2,121.8,93.6,.275,.429,.583,56.0,53.7,5.3,11.1,.522,11.3,39.1,.264,.534,9.2,26.7,.241
41,41,2026-01-17,@,ATL,W,132,106,,125.6,100.9,105.1,.242,.571,.656,53.9,58.7,8.6,14.3,.626,14.4,24.4,.198,.446,9.9,22.8,.147
42,42,2026-01-19,@,DET,L,103,104,,110.8,111.9,92.9,.361,.494,.535,52.3,39.4,7.5,7.5,.476,12.7,30.4,.289,.494,7.5,22.5,.193
43,43,2026-01-21,,IND,W,119,104,,118.9,103.9,100.1,.284,.352,.601,56.3,57.1,8.0,12.2,.545,13.9,32.6,.261,.457,11.9,24.5,.191
44,44,2026-01-23,@,BRK,W,130,126,2OT,117.8,114.1,91.4,.147,.468,.560,41.4,71.4,7.2,9.8,.550,7.2,17.6,.092,.511,14.1,33.3,.305
45,45,2026-01-24,@,CHI,L,111,114,,115.8,119.0,95.8,.091,.475,.539,46.3,63.6,10.4,12.5,.520,5.5,18.2,.081,.629,14.5,21.1,.082
46,46,2026-01-26,,POR,W,102,94,,103.5,95.3,98.6,.200,.378,.521,47.1,61.5,11.2,10.5,.506,14.8,22.2,.122,.474,16.5,26.2,.256
47,47,2026-01-28,,ATL,L,106,117,,111.6,123.2,94.9,.180,.382,.552,57.3,50.0,3.2,11.8,.522,14.3,34.9,.146,.581,8.4,21.7,.097
48,48,2026-01-30,,SAC,W,112,93,,124.8,103.7,89.7,.172,.516,.560,48.4,59.5,7.8,9.6,.548,6.5,30.4,.108,.434,14.7,33.3,.253
49,49,2026-02-01,,MIL,W,107,79,,125.1,92.3,85.6,.141,.457,.547,56.5,58.5,4.7,4.2,.527,9.3,37.8,.109,.415,11.0,25.5,.134
50,50,2026-02-03,@,DAL,W,110,100,,116.4,105.9,94.5,.052,.406,.560,49.0,57.4,7.4,7.0,.557,9.2,21.7,.031,.466,8.4,26.0,.191
51,51,2026-02-04,@,HOU,W,114,93,,128.5,104.8,88.7,.222,.567,.577,60.0,66.7,6.8,11.5,.539,13.2,43.5,.189,.482,9.8,24.5,.171
52,52,2026-02-06,,MIA,W,98,96,,105.3,103.2,93.0,.274,.429,.521,54.3,48.6,7.5,15.9,.476,14.5,28.9,.214,.494,11.5,21.3,.155
53,53,2026-02-08,,NYK,L,89,111,,97.0,121.0,91.8,.163,.446,.451,48.9,64.7,4.4,6.3,.408,9.2,26.4,.152,.566,7.9,18.9,.205
54,54,2026-02-11,,CHI,W,124,105,,127.8,108.2,97.0,.137,.474,.616,58.5,59.2,9.3,15.1,.611,12.2,34.2,.084,.528,12.1,20.5,.124
55,55,2026-02-19,@,GSW,W,121,110,,126.2,114.7,95.9,.074,.421,.617,57.4,73.5,7.3,14.6,.605,11.7,31.0,.063,.552,8.3,21.2,.042
