,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2025-10-22,,PHI,L,116,117,,117.0,118.0,99.2,.286,.473,.566,51.2,39.0,7.1,9.1,.511,9.7,25.0,.253,.553,12.5,23.8,.271
2,2,2025-10-24,@,NYK,L,95,105,,102.1,112.8,93.1,.183,.537,.536,41.1,54.3,10.7,17.1,.518,15.3,20.0,.122,.483,17.1,42.0,.256
3,3,2025-10-26,@,DET,L,113,119,,112.9,118.9,100.1,.255,.479,.540,40.9,42.5,11.0,13.6,.505,10.3,25.0,.191,.468,12.8,42.2,.344
4,4,2025-10-27,@,NOP,W,122,90,,129.9,95.9,93.9,.158,.558,.600,60.7,54.3,5.3,14.6,.579,10.6,40.0,.126,.387,12.7,22.4,.298
5,5,2025-10-29,,CLE,W,125,105,,130.8,109.9,95.5,.253,.600,.592,55.8,69.0,11.5,8.6,.553,8.7,36.7,.211,.500,12.5,23.9,.207
6,6,2025-10-31,@,PHI,W,109,108,,113.4,112.4,96.1,.119,.446,.513,52.9,59.1,8.3,15.9,.505,8.6,34.0,.069,.558,16.6,23.7,.269
7,7,2025-11-01,,HOU,L,101,128,,102.8,130.3,98.2,.068,.427,.476,40.4,60.0,9.2,4.2,.456,8.6,25.5,.068,.669,17.8,35.3,.325
8,8,2025-11-03,,UTA,L,103,105,,107.5,109.6,95.8,.247,.573,.522,39.6,56.8,12.5,7.5,.478,9.2,20.0,.202,.506,16.7,36.6,.238
9,9,2025-11-05,,WAS,W,136,107,,139.9,110.1,97.2,.221,.432,.652,50.0,59.6,12.3,5.7,.632,6.3,29.3,.168,.544,17.1,28.2,.250
10,10,2025-11-07,@,ORL,L,110,123,,110.7,123.8,99.4,.168,.389,.539,50.0,60.5,9.1,17.4,.521,12.1,26.7,.116,.604,13.6,25.6,.293
11,11,2025-11-09,@,ORL,W,111,107,,117.8,113.6,94.2,.294,.388,.578,49.4,55.0,10.6,4.1,.547,12.7,30.2,.212,.494,15.6,30.0,.385
12,12,2025-11-11,@,PHI,L,100,102,,107.1,109.2,93.4,.207,.413,.498,54.6,63.9,4.3,12.5,.462,9.9,26.5,.163,.512,8.9,16.7,.190
13,13,2025-11-12,,MEM,W,131,95,,137.6,99.8,95.2,.121,.515,.628,58.6,68.0,4.2,15.4,.611,9.5,40.9,.101,.389,8.6,27.3,.221
14,14,2025-11-16,,LAC,W,121,118,,128.4,125.3,94.2,.165,.379,.548,52.7,56.5,6.4,13.0,.524,5.2,37.0,.126,.556,12.9,25.6,.346
15,15,2025-11-18,@,BRK,W,113,99,,119.7,104.8,94.4,.347,.560,.654,55.7,67.6,6.4,11.4,.620,18.8,27.0,.267,.488,13.0,23.5,.232
16,16,2025-11-21,,BRK,L,105,113,,110.5,118.9,95.1,.156,.378,.546,51.8,57.1,7.4,2.0,.528,11.9,29.2,.111,.604,13.3,18.9,.171
17,17,2025-11-23,,ORL,W,138,129,,145.1,135.7,95.1,.250,.375,.706,45.7,54.7,6.3,12.9,.688,4.9,21.2,.193,.550,6.7,37.5,.190
18,18,2025-11-26,,DET,W,117,114,,121.3,118.2,96.4,.276,.494,.600,44.0,63.2,9.3,12.3,.552,11.8,25.5,.241,.457,10.7,39.6,.312
19,19,2025-11-29,@,MIN,L,115,119,,117.5,121.6,97.9,.156,.479,.560,53.8,53.3,10.2,20.0,.552,9.7,30.4,.094,.620,14.0,14.7,.193
20,20,2025-11-30,@,CLE,W,117,115,,122.8,120.7,95.3,.358,.494,.624,51.7,47.5,9.4,9.5,.580,16.8,35.7,.284,.564,12.3,34.0,.096
21,21,2025-12-02,,NYK,W,123,117,,135.8,129.2,90.5,.161,.460,.660,53.5,36.7,6.6,7.3,.638,9.7,32.4,.138,.618,11.5,27.0,.141
22,22,2025-12-04,@,WAS,W,146,101,,148.4,102.7,98.4,.212,.475,.674,55.4,64.8,14.2,15.1,.646,8.5,37.5,.182,.476,15.9,27.9,.250
23,23,2025-12-05,,LAL,W,126,105,,135.6,113.0,92.9,.143,.536,.706,52.1,67.4,9.7,11.9,.690,15.2,24.2,.119,.519,13.5,25.0,.325
24,24,2025-12-07,@,TOR,W,121,113,,128.7,120.2,94.0,.152,.511,.616,49.4,54.5,8.5,13.6,.587,10.1,31.1,.141,.540,11.8,28.9,.205
25,25,2025-12-11,@,MIL,L,101,116,,105.6,121.3,95.6,.284,.557,.510,49.4,52.9,7.3,2.0,.466,12.4,27.1,.216,.665,15.8,16.1,.139
26,26,2025-12-15,,DET,L,105,112,,109.7,117.0,95.7,.329,.476,.559,48.7,42.1,7.3,9.4,.524,12.2,20.6,.232,.534,9.9,28.6,.191
