,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
15,15,2019-11-22,@,DEN,L,92,96,,94.0,98.1,97.9,.284,.333,.505,45.5,63.6,12.3,10.0,.451,12.5,11.9,.235,.483,16.1,23.9,.125
16,16,2019-11-25,,SAC,W,103,102,,112.1,111.0,91.9,.271,.353,.541,51.4,52.6,10.9,12.5,.488,11.2,28.2,.235,.582,16.6,22.9,.127
17,17,2019-11-27,,BRK,W,121,110,,121.7,110.7,99.4,.247,.351,.562,59.1,53.5,10.1,14.7,.510,11.5,41.3,.227,.561,14.7,23.4,.100
18,18,2019-11-29,@,BRK,L,107,112,,103.9,108.7,103.0,.226,.301,.523,49.5,39.0,10.7,13.5,.489,15.7,30.8,.172,.554,16.8,28.9,.097
19,19,2019-12-01,@,NYK,W,113,104,,116.5,107.3,97.0,.237,.441,.550,53.0,61.0,5.2,14.0,.522,12.0,34.0,.172,.513,14.8,22.2,.342
20,20,2019-12-04,,MIA,W,112,93,,120.4,100.0,93.0,.405,.519,.602,53.5,60.0,8.6,20.5,.544,10.6,23.8,.329,.532,18.4,18.2,.143
21,21,2019-12-06,,DEN,W,108,95,,111.0,97.6,97.3,.098,.427,.631,47.4,47.7,5.1,7.8,.616,15.8,12.1,.085,.441,12.2,26.7,.128
22,22,2019-12-09,,CLE,W,110,88,,115.8,92.7,95.0,.103,.346,.675,46.4,48.9,8.4,15.0,.673,18.1,15.6,.064,.434,15.3,34.6,.099
23,23,2019-12-11,@,IND,L,117,122,,114.3,119.1,102.4,.253,.414,.605,55.0,58.1,5.9,6.7,.575,13.4,20.5,.195,.541,9.0,12.2,.353
24,24,2019-12-12,,PHI,L,109,115,,117.3,123.8,92.9,.187,.341,.553,42.3,57.1,4.3,13.0,.522,5.7,19.6,.154,.585,11.5,25.0,.232
25,25,2019-12-18,@,DAL,W,109,103,,114.1,107.8,95.5,.349,.442,.549,56.3,37.1,3.1,9.1,.477,13.9,30.4,.314,.477,7.5,20.0,.230
26,26,2019-12-20,,DET,W,114,93,,111.4,90.8,102.4,.244,.314,.598,58.6,53.3,12.7,16.7,.576,17.4,34.2,.174,.465,21.1,22.4,.165
27,27,2019-12-22,,CHO,W,119,93,,125.5,98.1,94.8,.182,.364,.626,67.9,54.3,2.1,18.8,.602,12.0,28.6,.148,.463,6.1,4.1,.207
28,28,2019-12-25,@,TOR,W,118,102,,119.0,102.9,99.2,.152,.359,.601,57.0,56.5,7.1,5.3,.576,16.2,32.5,.130,.525,15.9,17.9,.225
29,29,2019-12-27,,CLE,W,129,117,,128.6,116.6,100.3,.200,.421,.624,53.1,57.1,4.0,16.1,.589,9.6,27.3,.179,.571,10.1,16.2,.235
30,30,2019-12-28,,TOR,L,97,113,,99.0,115.4,98.0,.462,.410,.517,36.9,58.1,11.2,8.0,.442,13.8,15.6,.359,.607,19.4,38.5,.131
31,31,2019-12-31,@,CHO,W,109,92,,111.1,93.8,98.1,.103,.392,.537,56.8,56.8,12.2,17.3,.526,11.4,31.3,.072,.465,15.4,17.0,.140
32,32,2020-01-03,,ATL,W,109,106,,104.1,101.2,104.7,.312,.269,.515,56.3,56.1,8.6,14.6,.473,10.9,25.0,.226,.505,12.3,12.5,.129
33,33,2020-01-04,@,CHI,W,111,104,,115.6,108.3,96.0,.256,.232,.608,54.3,51.2,10.4,10.9,.573,18.0,33.3,.207,.506,14.6,26.2,.288
34,34,2020-01-06,@,WAS,L,94,99,,92.5,97.4,101.7,.274,.389,.442,53.9,51.5,6.9,12.7,.389,13.8,28.6,.211,.506,12.9,15.2,.167
35,35,2020-01-08,,SAS,L,114,129,,108.2,122.4,105.4,.337,.427,.558,44.3,70.3,6.6,3.4,.489,12.8,16.3,.303,.603,13.2,20.5,.276
36,36,2020-01-09,@,PHI,L,98,109,,103.4,115.0,94.7,.091,.409,.535,44.2,44.7,8.4,1.6,.511,14.1,18.6,.091,.551,12.0,30.2,.136
37,37,2020-01-11,,NOP,W,140,105,,132.0,99.0,106.1,.180,.290,.649,55.2,52.7,13.2,5.5,.620,9.2,26.3,.160,.470,12.9,25.9,.110
38,38,2020-01-13,,CHI,W,113,101,,117.5,105.1,96.1,.349,.277,.590,53.1,71.8,7.3,10.7,.524,11.1,24.4,.313,.494,13.2,17.5,.259
39,39,2020-01-15,,DET,L,103,116,,109.3,123.1,94.2,.241,.337,.561,56.4,51.2,7.4,4.3,.548,14.0,29.5,.145,.679,13.1,8.8,.128
40,40,2020-01-16,@,MIL,L,123,128,,117.6,122.3,104.6,.276,.500,.560,46.2,37.2,3.8,12.5,.515,6.8,18.9,.224,.586,8.8,17.5,.299
41,41,2020-01-18,,PHO,L,119,123,,110.4,114.1,107.8,.229,.438,.563,42.9,61.9,10.2,10.3,.516,9.4,8.7,.208,.545,12.8,22.2,.292
42,42,2020-01-20,,LAL,W,139,107,,137.6,105.9,101.0,.312,.366,.657,57.1,59.6,9.9,7.9,.645,10.2,36.8,.204,.478,12.8,26.1,.247
43,43,2020-01-22,,MEM,W,119,95,,117.9,94.1,100.9,.225,.360,.608,52.4,71.1,10.9,17.0,.584,10.1,20.5,.169,.488,17.2,12.5,.141
44,44,2020-01-24,@,ORL,W,109,98,,113.2,101.8,96.3,.209,.407,.580,48.9,67.5,10.4,13.2,.547,13.0,21.4,.174,.467,12.5,27.1,.156
45,45,2020-01-26,@,NOP,L,108,123,,102.5,116.7,105.4,.247,.371,.547,40.7,51.2,5.7,8.9,.506,14.7,16.3,.202,.565,16.0,37.5,.207
46,46,2020-01-28,@,MIA,W,109,101,,112.5,104.3,96.9,.289,.434,.583,51.6,61.5,5.2,15.4,.548,13.0,24.4,.217,.421,9.7,22.9,.292
47,47,2020-01-30,,GSW,W,119,104,,115.8,101.2,102.7,.250,.398,.609,63.0,64.3,11.7,10.5,.563,19.1,34.1,.227,.506,15.9,7.5,.338
48,48,2020-02-01,,PHI,W,116,95,,120.6,98.8,96.2,.513,.375,.592,47.2,39.5,9.4,3.9,.525,10.1,20.9,.400,.411,12.5,28.3,.310
49,49,2020-02-03,@,ATL,W,123,115,,122.4,114.5,100.5,.189,.322,.631,57.9,43.8,10.0,9.3,.600,13.3,29.7,.167,.571,15.4,15.4,.226
50,50,2020-02-05,,ORL,W,116,100,,120.3,103.7,96.4,.186,.267,.623,51.3,50.0,10.4,13.6,.610,12.3,16.7,.128,.513,16.2,20.5,.307
51,51,2020-02-07,,ATL,W,112,107,,115.6,110.5,96.9,.314,.430,.572,50.5,62.2,5.2,17.0,.523,11.7,24.4,.256,.483,12.6,25.0,.279
52,52,2020-02-09,@,OKC,W,112,111,,121.4,120.3,92.3,.321,.429,.584,54.6,50.0,6.5,3.4,.548,8.6,30.4,.238,.517,9.2,23.5,.256
53,53,2020-02-11,@,HOU,L,105,116,,102.4,113.1,102.5,.294,.376,.547,51.6,64.9,10.7,12.5,.500,15.8,20.0,.235,.513,12.8,11.6,.481
54,54,2020-02-13,,LAC,W,141,133,2OT,113.2,106.7,103.1,.388,.417,.585,48.1,48.9,7.2,8.0,.524,11.1,14.6,.320,.468,11.2,24.1,.273
55,55,2020-02-21,@,MIN,W,127,117,,122.3,112.7,103.8,.389,.305,.571,57.4,47.7,4.8,12.8,.516,9.0,31.4,.305,.489,8.7,16.0,.337
56,56,2020-02-23,@,LAL,L,112,114,,109.2,111.2,102.5,.361,.410,.582,48.9,52.6,6.8,5.8,.536,15.0,18.6,.277,.517,11.3,23.4,.291
57,57,2020-02-25,@,POR,W,118,106,,116.8,104.9,101.0,.156,.433,.614,52.3,44.2,5.9,5.6,.583,12.7,19.5,.144,.524,15.2,17.8,.200
58,58,2020-02-26,@,UTA,W,114,103,,126.6,114.4,90.0,.190,.310,.626,51.8,46.7,7.8,8.2,.601,9.0,24.3,.155,.517,9.5,27.1,.124
59,59,2020-02-29,,HOU,L,110,111,OT,102.6,103.5,97.1,.250,.420,.495,50.5,56.4,10.3,14.0,.455,11.2,25.5,.190,.495,13.1,23.1,.143
60,60,2020-03-03,,BRK,L,120,129,OT,108.2,116.3,100.5,.223,.476,.530,40.0,54.5,9.0,11.8,.500,11.7,24.1,.165,.500,15.2,43.1,.290
61,61,2020-03-04,@,CLE,W,112,106,,120.2,113.8,93.2,.302,.349,.575,49.5,40.0,10.7,13.7,.529,10.1,28.3,.244,.511,11.7,32.1,.169
62,62,2020-03-06,,UTA,L,94,99,,99.3,104.6,94.7,.191,.383,.461,52.9,54.3,6.3,17.1,.426,11.3,28.9,.149,.556,17.4,20.0,.125
63,63,2020-03-08,,OKC,L,104,105,,101.7,102.7,102.3,.207,.402,.518,54.1,57.9,8.8,9.3,.484,11.5,23.9,.163,.506,16.1,10.3,.316
64,64,2020-03-10,@,IND,W,114,111,,116.3,113.2,98.1,.237,.398,.555,51.7,46.3,9.2,5.8,.511,8.9,25.0,.204,.543,10.9,22.2,.108
65,65,2020-07-31,@,MIL,L,112,119,,106.7,113.3,105.0,.374,.407,.529,50.5,48.6,7.6,11.6,.467,13.1,25.9,.297,.542,13.2,17.1,.333
66,66,2020-08-02,,POR,W,128,124,,131.4,127.3,97.4,.442,.390,.696,50.7,57.1,9.2,12.5,.662,13.2,18.8,.338,.606,11.0,23.1,.167
67,67,2020-08-04,@,MIA,L,106,112,,112.6,119.0,94.1,.318,.388,.547,51.7,40.5,7.4,11.8,.494,14.2,31.8,.259,.539,12.1,27.9,.377
68,68,2020-08-05,,BRK,W,149,115,,134.5,103.8,110.7,.398,.443,.721,55.8,58.0,9.0,15.9,.682,11.9,18.2,.330,.516,14.7,15.9,.179
69,69,2020-08-07,@,TOR,W,122,100,,115.1,94.4,106.0,.167,.479,.592,52.0,57.4,7.5,3.9,.573,12.7,18.8,.125,.483,15.7,17.3,.157
70,70,2020-08-09,,ORL,W,122,119,OT,110.3,107.6,100.2,.235,.392,.542,50.9,71.1,8.1,12.7,.500,10.4,24.5,.196,.475,11.0,22.6,.216
71,71,2020-08-11,@,MEM,W,122,107,,125.1,109.8,97.5,.267,.430,.635,51.1,65.9,7.2,11.7,.605,13.5,25.0,.209,.433,7.0,28.0,.337
72,72,2020-08-13,,WAS,L,90,96,,92.2,98.4,97.6,.159,.398,.478,47.7,62.9,8.2,11.3,.443,16.8,25.5,.136,.443,15.4,32.1,.205
