,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2019-10-23,@,PHI,L,93,107,,90.1,103.6,103.3,.378,.289,.443,39.8,54.5,3.9,3.6,.406,9.5,16.7,.222,.476,14.4,27.9,.306
2,2,2019-10-25,,TOR,W,112,106,,110.1,104.2,101.7,.147,.349,.483,54.9,50.0,9.8,19.0,.445,7.9,33.9,.138,.590,21.2,12.5,.179
3,3,2019-10-26,@,NYK,W,118,95,,114.7,92.4,102.9,.312,.441,.558,45.5,57.1,13.6,16.4,.532,10.9,25.0,.204,.421,19.8,32.7,.317
4,4,2019-10-30,,MIL,W,116,105,,112.8,102.1,102.9,.228,.446,.573,50.0,61.0,3.9,10.8,.538,9.0,11.1,.185,.549,13.9,11.1,.183
5,5,2019-11-01,,NYK,W,104,102,,107.4,105.3,96.9,.392,.459,.599,46.3,63.6,7.2,7.3,.520,13.9,7.9,.365,.473,11.3,28.1,.151
6,6,2019-11-05,@,CLE,W,119,113,,118.4,112.5,100.5,.176,.353,.650,51.1,50.0,5.0,19.4,.635,13.3,11.1,.129,.489,7.9,21.2,.211
7,7,2019-11-07,@,CHO,W,108,87,,103.8,83.6,104.1,.247,.355,.524,51.5,72.5,12.5,9.1,.484,11.2,21.6,.194,.419,18.1,18.0,.174
8,8,2019-11-09,@,SAS,W,135,115,,129.5,110.3,104.3,.298,.394,.635,43.0,58.3,10.5,15.9,.585,7.8,16.3,.266,.465,11.8,36.8,.232
9,9,2019-11-11,,DAL,W,116,106,,123.9,113.2,93.6,.291,.407,.598,50.0,61.0,4.3,10.6,.564,8.5,23.3,.221,.478,7.3,26.5,.236
10,10,2019-11-13,,WAS,W,140,133,,132.4,125.8,105.8,.302,.375,.644,55.0,65.3,4.7,7.5,.594,9.9,27.0,.271,.578,7.7,20.9,.229
11,11,2019-11-15,@,GSW,W,105,100,,102.3,97.5,102.6,.253,.363,.519,46.1,64.9,12.7,9.3,.478,12.2,20.4,.198,.445,17.1,25.0,.329
12,12,2019-11-17,@,SAC,L,99,100,,104.7,105.8,94.6,.293,.366,.535,50.5,76.5,7.4,5.6,.476,13.9,22.2,.256,.506,11.3,21.7,.112
13,13,2019-11-18,@,PHO,W,99,85,,100.4,86.2,98.6,.191,.461,.513,53.6,59.5,12.2,10.9,.483,15.0,22.9,.146,.463,17.9,16.3,.110
14,14,2019-11-20,@,LAC,L,104,107,OT,98.0,100.8,96.1,.135,.433,.472,50.0,63.4,10.4,4.2,.452,14.0,31.6,.096,.511,18.7,28.6,.129
