,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2016-10-26,,BRK,W,122,117,,118.4,113.6,103.0,.202,.360,.629,51.6,75.0,12.6,17.0,.601,16.4,29.3,.169,.521,13.1,30.0,.165
2,2,2016-10-27,@,CHI,L,99,105,,104.5,110.9,94.7,.316,.303,.572,39.6,57.9,6.3,9.0,.553,12.2,7.5,.197,.451,10.2,35.3,.239
3,3,2016-10-29,@,CHO,W,104,98,,109.4,103.1,95.1,.210,.383,.588,52.5,64.1,4.2,12.8,.574,12.8,11.1,.136,.462,8.8,13.6,.316
4,4,2016-11-02,,CHI,W,107,100,,112.5,105.1,95.1,.195,.368,.566,44.3,68.3,10.5,6.6,.552,11.3,22.7,.126,.475,16.7,34.1,.284
5,5,2016-11-03,@,CLE,L,122,128,,122.8,128.8,99.4,.229,.333,.577,48.1,54.3,4.0,12.0,.536,7.0,22.2,.198,.571,7.4,19.4,.381
6,6,2016-11-06,,DEN,L,107,123,,105.6,121.4,101.3,.233,.278,.539,45.3,75.6,3.0,6.6,.500,10.8,22.4,.189,.589,15.6,24.3,.286
7,7,2016-11-09,@,WAS,L,93,118,,101.7,129.1,91.4,.272,.383,.513,36.5,60.0,5.5,5.6,.494,10.8,16.7,.160,.554,10.6,44.2,.174
8,8,2016-11-11,,NYK,W,115,87,,112.9,85.4,101.9,.478,.300,.528,48.2,65.7,15.7,4.2,.450,12.8,34.5,.378,.383,19.8,38.2,.160
9,9,2016-11-12,@,IND,W,105,99,,111.5,105.2,94.1,.413,.313,.555,54.0,62.9,7.4,11.9,.488,12.9,34.1,.338,.453,12.5,25.6,.244
10,10,2016-11-14,@,NOP,L,105,106,,103.7,104.7,101.3,.211,.432,.506,48.9,50.0,8.9,0.0,.463,10.4,22.4,.179,.481,15.2,19.5,.380
11,11,2016-11-16,,DAL,W,90,83,,100.3,92.5,89.7,.303,.276,.523,62.4,54.5,6.7,5.0,.480,18.1,32.5,.224,.458,9.3,11.1,.084
12,12,2016-11-18,,GSW,L,88,104,,91.9,108.6,95.7,.229,.386,.482,46.2,61.3,6.3,4.8,.440,12.5,14.6,.181,.539,10.4,20.0,.078
13,13,2016-11-19,@,DET,W,94,92,,107.8,105.5,87.2,.207,.378,.525,47.9,66.7,3.4,10.6,.476,8.2,18.8,.195,.471,7.0,22.9,.128
14,14,2016-11-21,@,MIN,W,99,93,,105.4,99.0,94.0,.167,.452,.549,43.3,52.6,5.3,6.5,.524,11.7,14.6,.131,.442,13.4,32.7,.198
15,15,2016-11-23,@,BRK,W,111,92,,108.6,90.0,102.2,.082,.388,.547,53.1,57.8,12.7,10.9,.536,12.1,25.0,.061,.453,16.6,18.8,.163
16,16,2016-11-25,,SAS,L,103,109,,109.9,116.3,93.8,.099,.374,.542,44.4,76.2,8.5,7.0,.527,9.5,20.0,.077,.537,15.6,31.7,.272
17,17,2016-11-28,@,MIA,W,112,104,,115.1,106.9,97.3,.313,.325,.593,49.4,65.0,4.1,6.0,.548,9.6,15.0,.253,.513,12.1,17.1,.275
18,18,2016-11-30,,DET,L,114,121,,122.2,129.8,93.3,.220,.462,.571,38.8,65.0,6.4,4.5,.522,5.7,18.8,.209,.603,10.3,35.1,.184
19,19,2016-12-02,,SAC,W,97,92,,101.5,96.3,95.5,.170,.318,.513,46.9,69.4,10.5,14.5,.472,13.7,22.9,.159,.409,12.4,29.2,.227
20,20,2016-12-03,@,PHI,W,107,106,,114.9,113.8,93.1,.382,.342,.603,49.3,57.9,5.4,7.0,.553,11.0,16.7,.303,.559,16.3,20.5,.276
21,21,2016-12-05,@,HOU,L,106,107,,106.2,107.2,99.8,.121,.323,.508,47.7,64.3,7.0,10.5,.480,9.5,20.4,.111,.526,15.9,17.9,.355
22,22,2016-12-07,@,ORL,W,117,87,,124.0,92.2,94.3,.345,.310,.605,57.0,67.4,7.4,7.3,.554,9.4,27.5,.286,.438,13.3,17.4,.198
23,23,2016-12-09,,TOR,L,94,101,,98.0,105.3,95.9,.265,.506,.507,47.9,77.4,5.2,6.5,.476,13.1,16.0,.181,.470,10.5,17.4,.293
24,24,2016-12-11,@,OKC,L,96,99,,104.1,107.4,92.2,.089,.356,.513,44.9,70.0,9.8,6.5,.506,13.0,26.1,.056,.512,12.1,34.9,.169
25,25,2016-12-14,@,SAS,L,101,108,,105.9,113.2,95.4,.238,.369,.544,47.9,67.6,12.6,5.2,.500,12.3,19.5,.202,.600,15.7,15.6,.150
26,26,2016-12-16,,CHO,W,96,88,,99.5,91.3,96.4,.333,.359,.537,46.5,76.5,7.3,11.9,.494,12.7,11.9,.244,.371,10.2,28.1,.165
27,27,2016-12-18,@,MIA,W,105,95,,108.6,98.2,96.7,.211,.311,.534,47.4,51.2,13.4,4.4,.506,11.7,23.9,.156,.587,22.3,18.8,.203
28,28,2016-12-20,@,MEM,W,112,109,OT,113.9,110.8,89.1,.469,.457,.573,44.1,66.7,7.1,7.8,.481,11.7,18.6,.420,.468,11.0,34.0,.223
29,29,2016-12-22,@,IND,W,109,102,,105.9,99.1,102.9,.293,.424,.525,46.8,50.0,9.7,3.4,.467,8.8,17.6,.250,.470,16.7,18.6,.305
30,30,2016-12-23,,OKC,L,112,117,,111.7,116.7,100.2,.280,.301,.536,47.0,70.7,8.0,3.7,.489,11.1,22.7,.226,.581,11.9,25.6,.300
31,31,2016-12-25,@,NYK,W,119,114,,125.4,120.1,94.9,.215,.387,.584,44.3,55.6,10.5,3.1,.559,6.4,27.3,.161,.517,14.7,38.6,.276
32,32,2016-12-27,,MEM,W,113,103,,119.4,108.9,94.6,.247,.365,.600,56.0,73.2,6.3,12.1,.553,16.0,36.8,.224,.472,9.8,28.3,.227
33,33,2016-12-29,@,CLE,L,118,124,,120.3,126.4,98.1,.247,.435,.626,38.7,60.5,15.3,8.9,.576,10.5,15.4,.235,.602,15.6,36.1,.289
34,34,2016-12-30,,MIA,W,117,114,,124.3,121.1,94.1,.392,.432,.674,43.5,73.7,6.4,3.2,.628,13.9,14.3,.324,.594,11.3,26.5,.078
35,35,2017-01-03,,UTA,W,115,104,,126.9,114.8,90.6,.230,.419,.706,47.8,75.6,5.5,10.7,.669,14.7,12.9,.216,.530,10.8,22.2,.207
36,36,2017-01-06,,PHI,W,110,106,,109.7,105.7,100.2,.287,.460,.561,50.6,80.0,6.0,21.6,.511,15.5,24.5,.241,.525,14.2,11.8,.291
37,37,2017-01-07,,NOP,W,117,108,,123.6,114.1,94.7,.226,.387,.572,52.8,65.0,6.3,9.3,.527,8.9,31.3,.204,.529,11.2,22.0,.212
38,38,2017-01-10,@,TOR,L,106,114,,107.4,115.5,98.7,.235,.318,.565,39.8,52.5,7.1,4.6,.524,13.8,15.4,.200,.529,15.4,38.6,.253
39,39,2017-01-11,,WAS,W,117,108,,121.9,112.5,96.0,.212,.482,.630,50.6,46.5,5.2,8.9,.606,13.1,26.3,.165,.476,6.8,31.4,.076
40,40,2017-01-13,@,ATL,W,103,101,,113.0,110.8,91.1,.229,.530,.564,50.0,61.1,7.7,5.6,.536,11.6,22.5,.169,.494,11.4,26.1,.214
41,41,2017-01-16,,CHO,W,108,98,,117.6,106.7,91.8,.119,.464,.611,51.2,69.0,6.5,4.9,.589,12.0,20.0,.107,.488,10.5,21.7,.163
42,42,2017-01-18,,NYK,L,106,117,,112.8,124.5,94.0,.319,.363,.511,36.7,71.4,8.5,12.1,.434,2.8,18.8,.297,.560,13.9,42.9,.165
43,43,2017-01-21,,POR,L,123,127,OT,113.5,117.2,98.1,.337,.380,.582,56.0,61.9,5.5,3.0,.527,16.6,33.3,.283,.522,11.5,21.4,.337
44,44,2017-01-24,@,WAS,L,108,123,,109.5,124.7,98.6,.286,.393,.571,42.7,63.2,10.1,4.7,.512,12.9,18.6,.262,.625,14.6,25.0,.214
45,45,2017-01-25,,HOU,W,120,109,,118.4,107.6,101.3,.176,.352,.612,61.5,70.2,9.9,6.5,.577,15.5,33.3,.165,.532,15.4,14.3,.351
46,46,2017-01-27,,ORL,W,128,98,,130.8,100.2,97.9,.169,.382,.669,55.3,78.0,8.2,8.1,.652,9.5,18.4,.135,.489,11.2,14.9,.149
47,47,2017-01-28,@,MIL,W,112,108,OT,107.6,103.7,94.3,.337,.461,.548,48.4,70.3,5.8,10.6,.494,11.3,19.1,.270,.477,13.7,20.5,.287
48,48,2017-01-30,,DET,W,113,109,,112.8,108.8,100.2,.402,.390,.585,46.3,63.9,6.0,7.1,.518,9.4,13.3,.341,.459,6.0,24.0,.206
49,49,2017-02-01,,TOR,W,109,104,,115.1,109.8,94.7,.345,.414,.544,48.8,66.7,6.3,4.3,.483,9.1,26.7,.287,.577,15.2,22.9,.179
50,50,2017-02-03,,LAL,W,113,107,,112.1,106.1,100.8,.341,.427,.599,47.5,71.8,7.9,1.8,.555,14.5,15.9,.268,.468,10.2,27.3,.202
51,51,2017-02-05,,LAC,W,107,102,,109.6,104.5,97.6,.227,.591,.553,49.5,64.9,9.2,5.5,.511,10.2,19.1,.193,.476,11.9,18.2,.262
52,52,2017-02-08,@,SAC,L,92,108,,95.3,111.8,96.6,.370,.438,.542,49.4,62.1,8.3,3.4,.466,17.5,16.3,.329,.560,13.4,11.1,.167
53,53,2017-02-09,@,POR,W,120,111,,126.9,117.4,94.6,.297,.330,.583,51.2,52.3,8.5,2.0,.538,7.2,31.1,.242,.565,15.0,25.6,.312
54,54,2017-02-11,@,UTA,W,112,104,,119.9,111.3,93.4,.324,.423,.690,48.7,47.6,6.4,7.3,.683,16.5,10.3,.211,.453,10.0,27.7,.302
55,55,2017-02-13,@,DAL,W,111,98,,118.8,104.9,93.4,.222,.420,.624,52.6,70.0,5.4,6.0,.593,11.9,17.5,.185,.513,12.0,10.5,.247
56,56,2017-02-15,,PHI,W,116,108,,105.4,98.2,110.0,.450,.350,.605,45.3,55.3,11.8,6.5,.556,20.0,14.6,.338,.516,17.9,26.7,.129
57,57,2017-02-16,@,CHI,L,103,104,,118.0,119.2,87.3,.260,.481,.600,37.8,66.7,2.3,6.2,.558,7.5,10.0,.221,.456,7.4,35.7,.244
58,58,2017-02-24,@,TOR,L,97,107,,106.4,117.4,91.1,.282,.487,.553,46.8,57.6,4.4,4.5,.500,12.0,18.4,.244,.525,10.5,25.6,.272
59,59,2017-02-26,@,DET,W,104,98,,102.2,96.3,101.8,.353,.412,.530,53.6,64.7,8.8,2.1,.471,14.0,20.9,.282,.506,15.0,20.4,.198
60,60,2017-02-27,,ATL,L,98,114,,94.9,110.4,103.3,.287,.391,.500,42.1,61.8,8.7,10.0,.448,15.5,17.6,.230,.516,11.9,29.5,.168
61,61,2017-03-01,,CLE,W,103,99,,110.3,106.1,93.3,.295,.397,.584,53.4,77.8,4.3,10.3,.545,12.0,21.6,.231,.462,9.8,23.5,.165
62,62,2017-03-03,@,LAL,W,115,95,,111.5,92.1,103.1,.298,.393,.605,57.5,69.8,6.8,3.2,.571,15.9,17.6,.226,.460,12.8,13.0,.172
63,63,2017-03-05,@,PHO,L,106,109,,103.6,106.6,102.3,.471,.435,.517,51.9,59.4,5.9,8.1,.453,12.0,25.9,.341,.468,9.4,20.0,.223
64,64,2017-03-06,@,LAC,L,102,116,,104.7,119.1,97.4,.349,.422,.533,44.0,64.7,9.2,3.8,.470,10.3,15.2,.289,.596,12.2,21.1,.397
65,65,2017-03-08,@,GSW,W,99,86,,105.3,91.4,94.1,.226,.345,.536,49.5,75.7,12.8,1.9,.500,13.2,20.9,.179,.476,17.0,25.0,.071
66,66,2017-03-10,@,DEN,L,99,119,,99.8,119.9,99.2,.284,.407,.543,40.5,55.9,11.1,3.7,.494,16.5,18.8,.235,.600,16.7,30.6,.200
67,67,2017-03-12,,CHI,W,100,80,,105.4,84.3,94.9,.047,.430,.570,56.0,55.0,14.7,8.1,.558,19.3,30.0,.047,.420,17.3,23.5,.080
68,68,2017-03-15,,MIN,W,117,104,,129.3,114.9,90.5,.266,.418,.663,46.8,79.1,2.2,7.8,.627,10.2,15.6,.228,.484,7.4,31.9,.176
69,69,2017-03-17,@,BRK,W,98,95,,99.2,96.2,98.8,.341,.341,.501,55.4,58.8,7.1,12.5,.441,11.7,18.6,.271,.428,9.4,12.2,.289
70,70,2017-03-19,@,PHI,L,99,105,,97.1,103.0,101.9,.345,.345,.512,48.8,79.4,7.8,9.1,.440,15.7,18.6,.298,.534,14.5,19.5,.125
