,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
71,71,2017-03-20,,WAS,W,110,102,,108.9,101.0,101.0,.301,.355,.522,57.6,47.5,9.9,11.8,.484,12.5,38.0,.215,.477,15.6,19.0,.233
72,72,2017-03-22,,IND,W,109,100,,118.6,108.8,91.9,.167,.321,.604,48.9,62.8,5.4,3.4,.577,15.9,27.0,.143,.500,12.0,35.3,.149
73,73,2017-03-24,,PHO,W,130,120,,119.0,109.8,109.3,.372,.436,.594,50.5,70.5,7.3,7.5,.543,12.1,23.5,.298,.488,10.8,20.8,.419
74,74,2017-03-26,,MIA,W,112,108,,116.0,111.9,96.5,.325,.312,.636,46.7,78.0,8.3,4.8,.584,17.8,25.0,.286,.489,13.6,37.2,.209
75,75,2017-03-29,,MIL,L,100,103,,107.5,110.7,93.0,.261,.420,.510,54.5,68.6,8.6,5.4,.466,14.0,34.9,.205,.577,15.8,20.6,.167
76,76,2017-03-31,,ORL,W,117,116,,113.4,112.4,103.2,.405,.393,.591,48.4,71.1,5.8,7.4,.524,10.0,11.9,.345,.469,7.6,21.6,.245
77,77,2017-04-02,@,NYK,W,110,94,,116.2,99.3,94.7,.361,.514,.659,56.2,55.0,8.4,5.0,.639,16.9,17.2,.250,.429,10.3,18.2,.247
78,78,2017-04-05,,CLE,L,91,114,,95.8,120.0,95.0,.358,.407,.485,42.7,63.6,6.3,7.1,.451,12.2,17.4,.222,.527,9.1,30.2,.185
79,79,2017-04-06,@,ATL,L,116,123,,111.3,118.1,104.2,.378,.478,.553,42.2,75.7,8.6,6.1,.494,10.3,20.4,.300,.556,14.1,31.7,.270
80,80,2017-04-08,@,CHO,W,121,114,,125.2,117.9,96.7,.195,.448,.640,50.6,77.8,2.1,8.9,.615,8.7,12.5,.161,.506,6.7,15.6,.345
81,81,2017-04-10,,BRK,W,114,105,,110.3,101.6,103.4,.231,.418,.569,51.0,75.6,6.8,7.3,.527,12.3,18.4,.198,.407,10.4,17.6,.407
82,82,2017-04-12,,MIL,W,112,94,,115.6,97.0,96.9,.286,.407,.547,51.7,75.6,12.4,4.9,.516,7.2,24.4,.198,.476,15.7,20.5,.167
